lemma;upos;ner tag;count;stopword
tere;INTJ;O;2;yes
õhtu;NOUN;O;1;no
,;PUNCT;O;92;no
kell;NOUN;O;1;no
olema;AUX;O;48;yes
saama;VERB;O;4;yes
kaheksa;NUM;O;2;no
ja;CCONJ;O;37;yes
eeter;NOUN;O;1;no
Päevakada;PROPN;O;1;no
stuudio;NOUN;O;1;no
Margitta;PROPN;O;1;no
.;PUNCT;O;101;no
Otsmaa;PROPN;O;1;no
Riigikogu;PROPN;O;2;no
arutama;VERB;O;3;no
erakond;NOUN;O;12;no
rahastamine;NOUN;O;9;no
Eesti;PROPN;O;6;no
põhiseadus;NOUN;O;1;no
üks;DET;O;7;yes
autor;NOUN;O;1;no
endine;ADJ;O;3;no
justiitsminister;NOUN;O;2;no
Jürjo;PROPN;O;1;no
Adams;PROPN;O;4;no
hindama;VERB;O;2;no
parteiraha;NOUN;O;1;no
puhul;ADP;O;2;yes
varimajandus;NOUN;O;3;no
osakaal;NOUN;O;2;no
kuni;ADP;O;2;yes
40;NUM;O;1;no
protsent;NOUN;O;3;no
valitsus;NOUN;O;7;no
toetama;VERB;O;5;no
100000;NUM;O;2;no
euro;NOUN;O;4;no
suurune;ADJ;O;2;no
tagatisraha;NOUN;O;4;no
nõue;NOUN;O;3;no
kehtestamine;NOUN;O;3;no
kütusemüüja;NOUN;O;2;no
et;SCONJ;O;19;yes
vältima;VERB;O;2;no
käibemaksupettus;NOUN;O;2;no
ei;AUX;O;10;yes
aga;ADV;O;7;yes
opositsioon;NOUN;O;1;no
esitatud;ADJ;O;2;no
seadusemuudatus;NOUN;O;2;no
erimärgistatud;ADJ;O;4;no
vedelkütune;ADJ;O;1;no
kasutamine;NOUN;O;4;no
talvine;ADJ;O;2;no
teehooldetöö;NOUN;O;2;no
või;CCONJ;O;7;yes
hädaolukord;NOUN;O;2;no
likvideerimine;NOUN;O;2;no
peaminister;NOUN;O;3;no
Andrus;PROPN;O;2;no
Ansip;PROPN;O;2;no
pidama;AUX;O;9;yes
õigem;ADJ;O;1;no
maksma;VERB;O;2;no
lumi;NOUN;O;2;no
koristaja;NOUN;O;1;no
see;DET;O;18;yes
kulutus;NOUN;O;1;no
hüvitamine;NOUN;O;1;no
otsetoetus;NOUN;O;2;no
Venemaa;PROPN;O;7;no
välisminister;NOUN;O;3;no
Sergei;PROPN;O;4;no
Lavrov;PROPN;O;6;no
kinnitama;VERB;O;5;no
täna;ADV;O;5;no
Moskva;PROPN;O;4;no
soovima;VERB;O;3;no
välispoliitika;NOUN;O;3;no
ühendama;VERB;O;1;no
lääs;NOUN;O;3;no
ka;ADV;O;15;yes
uus;ADJ;O;4;no
aasta;NOUN;O;11;no
heanaaberlik;ADJ;O;2;no
suhe;NOUN;O;3;no
tänavune;ADJ;O;1;no
hiidlane;NOUN;O;2;no
varras;NOUN;O;1;no
lubatud;ADJ;O;2;no
50;NUM;O;2;no
protsendiline;ADJ;O;2;no
sõidusoodustus;NOUN;O;3;no
Virtsu-Kuivastu;PROPN;O;2;no
Rohuküla-Heltermaa;PROPN;O;2;no
laevaliin;NOUN;O;2;no
hakkama;VERB;O;7;yes
kehtima;VERB;O;6;no
esimene;ADJ;O;2;no
veebruar;NOUN;O;2;no
Tallinn;PROPN;O;1;no
Vabaduse;PROPN;O;2;no
galerii;NOUN;O;3;no
saama;AUX;O;3;yes
tänane;ADJ;O;1;no
nägema;VERB;O;4;no
eesti;ADJ;O;2;no
graafika;NOUN;O;2;no
suur;ADJ;O;3;no
vanameister;NOUN;O;1;no
Avo;PROPN;O;2;no
keerenditagisivaateline;ADJ;O;1;no
näitus;NOUN;O;2;no
kerge;ADJ;O;2;no
lumesadu;NOUN;O;1;no
ilm;NOUN;O;3;no
puhuma;VERB;O;2;no
loodetuul;NOUN;O;2;no
külm;NOUN;O;1;no
kaks;NUM;O;2;no
kuni;CCONJ;O;3;yes
kuus;NUM;O;3;no
kraad;NOUN;O;2;no
homme;ADV;O;4;no
pärastlõuna;NOUN;O;2;no
temperatuur;NOUN;O;1;no
kiiresti;ADV;O;2;no
langema;VERB;O;1;no
oluline;ADJ;O;2;no
tähtsus;NOUN;O;1;no
riiklik;ADJ;O;1;no
küsimus;NOUN;O;6;no
jätkama;VERB;O;1;no
Uku;PROPN;O;1;no
Toom;PROPN;O;1;no
kolm;NUM;O;2;no
põhiettekandja;NOUN;O;1;no
pühendama;VERB;O;1;no
Jüri;PROPN;O;2;no
osa;NOUN;O;1;no
ettekanne;NOUN;O;1;no
ajalugu;NOUN;O;1;no
kujunemine;NOUN;O;1;no
ning;CCONJ;O;4;yes
tooma;VERB;O;2;no
punkt;NOUN;O;1;no
välja;ADV;O;1;yes
