word;upos;ner tag;count;stopword
imelik;ADJ;O;3;no
küll;ADV;O;8;yes
,;PUNCT;O;206;no
aga;CCONJ;O;23;yes
ma;PRON;O;44;yes
olin;AUX;O;7;yes
Leho;PROPN;O;7;no
mõne;DET;O;2;yes
nädalaga;NOUN;O;1;no
peaaegu;ADV;O;2;yes
täiesti;ADV;O;2;yes
unustada;VERB;O;1;no
jõudnud;VERB;O;2;no
.;PUNCT;O;258;no
meelest;NOUN;O;1;yes
tuli;VERB;O;4;yes
lennanud;VERB;O;1;no
kõik;PRON;O;6;yes
mis;PRON;O;11;yes
kooliga;NOUN;O;1;no
seotud;VERB;O;1;no
suvi;NOUN;O;1;no
oli;AUX;O;45;yes
mu;PRON;O;5;yes
jäägitult;ADV;O;1;no
alla;ADV;O;3;yes
neelanud;VERB;O;1;no
Leole;PROPN;O;1;no
otsa;ADP;O;2;yes
vaadates;VERB;O;1;no
mõistsin;VERB;O;1;no
et;SCONJ;O;27;yes
tema;PRON;O;5;yes
tulek;NOUN;O;1;no
ei;AUX;O;35;yes
puutu;VERB;O;1;no
üldse;ADV;O;5;no
meie;PRON;O;9;yes
kooli;NOUN;O;1;no
ega;CCONJ;O;4;yes
veidralt;ADV;O;1;no
jahedatesse;ADJ;O;1;no
suvistesse;ADJ;O;1;no
suhetesse;NOUN;O;1;no
kuid;CCONJ;O;2;yes
kõigepealt;ADV;O;1;yes
küsis;VERB;O;4;no
ta;PRON;O;26;yes
juua;VERB;O;1;no
viisin;VERB;O;1;no
kiiresti;ADV;O;3;no
koju;NOUN;O;4;no
tuppa;NOUN;O;2;no
nagu;SCONJ;O;18;yes
ütlesime;VERB;O;2;no
Leo;PROPN;O;1;no
jõi;VERB;O;1;no
tühjaks;ADJ;O;1;no
terve;ADJ;O;1;no
kopsiku;NOUN;O;1;no
pühkis;VERB;O;1;no
nägu;NOUN;O;3;no
vaatas;VERB;O;7;no
kasinast;NOUN;O;1;no
toakeses;NOUN;O;1;no
ringi;ADV;O;4;yes
ja;CCONJ;O;81;yes
noogutas;VERB;O;2;no
ebamääraselt;ADV;O;1;no
mul;PRON;O;6;yes
veel;ADV;O;10;yes
palju;ADV;O;6;yes
aega;NOUN;O;7;no
pean;AUX;O;4;yes
kohe;ADV;O;3;yes
tagasi;ADV;O;3;yes
minema;VERB;O;3;yes
ütles;VERB;O;6;no
riiulit;NOUN;O;1;no
silmitsedes;VERB;O;1;no
võttis;VERB;O;2;no
sealt;ADV;O;1;yes
pisikese;ADJ;O;1;no
värvilise;ADJ;O;1;no
põrsa;NOUN;O;1;no
uuris;VERB;O;1;no
seda;PRON;O;12;yes
ahsoo;INTJ;O;1;no
see;PRON;O;30;yes
on;AUX;O;26;yes
see;DET;O;5;yes
martsipan;NOUN;O;1;no
tean;VERB;O;2;no
sul;PRON;O;3;yes
ju;ADV;O;4;yes
kivikõva;ADJ;O;1;no
kahju;NOUN;O;1;no
kõlba;VERB;O;1;no
enam;ADV;O;7;yes
süüa;VERB;O;1;no
istusin;VERB;O;2;no
vaikides;VERB;O;2;no
vaatasin;VERB;O;1;no
tihedate;ADJ;O;1;no
tedretäppidega;NOUN;O;1;no
kaetud;ADJ;O;1;no
higist;NOUN;O;1;no
selge;ADJ;O;2;no
tulnud;VERB;O;2;yes
asutuse;NOUN;O;2;no
vahele;ADP;O;2;yes
niisama;ADV;O;2;yes
ajaviiteks;NOUN;O;1;no
kõndima;VERB;O;1;no
asi;NOUN;O;3;no
polnud;AUX;O;11;yes
ainult;ADV;O;5;yes
mõnes;DET;O;2;yes
kilomeetris;NOUN;O;1;no
sellised;DET;O;1;yes
visiidid;NOUN;O;1;no
meil;PRON;O;5;yes
suviti;ADV;O;1;no
lihtsalt;ADV;O;3;no
kombeks;NOUN;O;1;no
tal;PRON;O;2;yes
pidi;AUX;O;1;yes
olema;AUX;O;1;yes
minu;PRON;O;8;yes
jaoks;ADP;O;3;yes
mingi;DET;O;2;yes
suur;ADJ;O;2;no
sõnum;NOUN;O;1;no
õhukese;ADJ;O;2;no
toa;NOUN;O;1;no
seina;NOUN;O;1;no
tagant;ADP;O;1;yes
kostis;VERB;O;3;no
kobinatia;NOUN;O;1;no
muutus;VERB;O;2;no
ärevaks;ADJ;O;1;no
ah;INTJ;O;1;yes
ei;ADV;O;5;yes
naabrite;NOUN;O;1;no
hundikoer;NOUN;O;1;no
jube;ADV;O;2;no
sõbralik;ADJ;O;1;no
koeraga;NOUN;O;1;no
nad;PRON;O;5;yes
hoiavad;VERB;O;1;no
teda;PRON;O;2;yes
päevad;NOUN;O;1;no
läbi;ADV;O;1;yes
toas;NOUN;O;1;no
kinni;ADV;O;3;no
vanadele;ADJ;O;1;no
meeldi;VERB;O;1;no
koerad;NOUN;O;1;no
seletasin;VERB;O;1;no
koer;NOUN;O;1;no
las;ADV;O;1;no
olla;AUX;O;4;yes
leo;NOUN;O;1;no
rohkem;ADV;O;2;yes
seal;ADV;O;10;yes
kedagi;PRON;O;1;yes
kodus;NOUN;O;2;no
ole;AUX;O;1;yes
tähistas;VERB;O;1;no
näppudega;NOUN;O;1;no
lauaplaati;NOUN;O;1;no
kahtlustavalt;ADV;O;2;no
kallutas;VERB;O;1;no
siis;ADV;O;18;yes
oma;PRON;O;14;yes
pea;NOUN;O;3;yes
kõrva;NOUN;O;1;yes
äärde;ADP;O;3;yes
ruudulises;ADJ;O;1;no
särgist;NOUN;O;1;no
pahvatas;VERB;O;1;no
higi;NOUN;O;1;no
kirburohu;NOUN;O;1;no
mets;NOUN;O;1;no
muulukate;ADJ;O;1;no
lõhna;NOUN;O;2;no
oled;AUX;O;2;yes
sa;PRON;O;6;yes
midagi;PRON;O;18;yes
kuulnud;VERB;O;1;no
?;PUNCT;O;19;no
nõudlikkus;NOUN;O;1;no
Rosinaga;PROPN;O;1;no
millest;PRON;O;2;yes
nuhule;NOUN;O;1;no
me;PRON;O;5;yes
sinuga;PRON;O;1;yes
toomingal;NOUN;O;1;no
rääkisime;VERB;O;1;no
muidugi;ADV;O;3;yes
meenus;VERB;O;1;no
otsekui;SCONJ;O;3;yes
hele;ADJ;O;1;no
hääletu;ADJ;O;1;no
plahvatus;NOUN;O;1;no
alateadvuses;NOUN;O;1;no
külmavärinad;NOUN;O;1;no
jooksid;VERB;O;1;no
üle;ADP;O;4;yes
selja;NOUN;O;1;no
saanudki;VERB;O;1;no
aru;NOUN;O;3;no
kole;ADJ;O;1;no
või;CCONJ;O;6;yes
hoopis;ADV;O;3;yes
meeldiv;ADJ;O;1;no
tunne;NOUN;O;3;no
vahepealset;ADJ;O;1;no
rääkisin;VERB;O;2;no
Lehule;PROPN;O;1;no
sellest;PRON;O;2;yes
kuidas;ADV;O;5;yes
aja;NOUN;O;1;no
eest;ADP;O;2;yes
linna;NOUN;O;1;no
sugulase;NOUN;O;1;no
Reinuga;PROPN;O;1;no
jõe;NOUN;O;2;no
kaldal;NOUN;O;1;no
mängisin;VERB;O;1;no
Rein;PROPN;O;1;no
äkki;ADV;O;3;no
kukkus;VERB;O;1;no
üks;DET;O;3;yes
vanamoor;NOUN;O;2;no
meid;PRON;O;2;yes
Kont;PROPN;O;5;no
käega;NOUN;O;2;no
ähvardanud;VERB;O;1;no
Kont;NOUN;O;1;no
just;ADV;O;1;yes
nimelt;ADV;O;2;no
kohutava;ADJ;O;1;no
saladuse;NOUN;O;1;no
peale;ADP;O;5;yes
mõtelnud;VERB;O;2;no
tabanud;VERB;O;1;no
otsest;ADJ;O;1;no
seost;NOUN;O;1;no
nüüd;ADV;O;12;yes
tabasin;VERB;O;1;no
näed;VERB;O;2;no
hüüatas;VERB;O;2;no
tavakatas;NOUN;O;1;no
jälle;ADV;O;4;no
hakkas;VERB;O;7;yes
poolsosinal;NOUN;O;1;no
rääkima;VERB;O;2;no
on;VERB;O;1;yes
andmeid;NOUN;O;2;no
jaanipäeva;NOUN;O;1;no
paiku;ADP;O;1;yes
võib;AUX;O;1;yes
juhtuda;VERB;O;1;no
tea;VERB;O;3;no
täpset;ADJ;O;1;no
Äravisi;PROPN;O;1;no
niikuinii;ADV;O;1;no
saa;AUX;O;2;yes
rääkida;VERB;O;4;no
võib-olla;ADV;O;2;yes
juhtu;VERB;O;1;no
passi;NOUN;O;3;no
hoolega;NOUN;O;2;no
peale;ADV;O;2;yes
vaat;ADV;O;1;yes
sulle;PRON;O;1;yes
ütlen;VERB;O;2;no
pagan;NOUN;O;1;no
seda;DET;O;4;yes
kolhoosivärki;NOUN;O;1;no
võtaks;VERB;O;2;no
mina;PRON;O;12;yes
saa;VERB;O;1;yes
steisin;VERB;O;1;no
asutuses;NOUN;O;1;no
viga;NOUN;O;1;no
käidi;VERB;O;1;no
ujumas;VERB;O;1;no
te;PRON;O;4;yes
esitate;VERB;O;1;no
päikese;NOUN;O;1;no
käes;ADP;O;1;yes
mingit;DET;O;2;yes
linnakad;ADJ;O;1;no
kolhoosikapsaid;NOUN;O;1;no
kõplama;VERB;O;1;no
väetist;NOUN;O;1;no
valvama;VERB;O;1;no
heinaaeg;NOUN;O;1;no
varsti;ADV;O;2;no
käes;NOUN;O;2;yes
ka;ADV;O;9;yes
kõik;DET;O;6;yes
värk;NOUN;O;1;no
talu;NOUN;O;1;no
tahab;VERB;O;1;no
juba;ADV;O;5;yes
pidamist;NOUN;O;1;no
vana;ADJ;O;1;no
mees;NOUN;O;3;no
panime;VERB;O;1;no
säärase;DET;O;1;yes
mahvi;NOUN;O;1;no
mõtlen;VERB;O;2;no
uurikad;NOUN;O;1;no
karjatama;VERB;O;1;no
saab;VERB;O;1;yes
kui;SCONJ;O;18;yes
nii;ADV;O;8;yes
edasi;ADV;O;4;yes
läheb;VERB;O;1;yes
motoon;VERB;O;1;no
binokli;NOUN;O;1;no
siia;ADV;O;2;yes
sinu;PRON;O;1;yes
kätte;ADP;O;1;yes
eks;ADV;O;4;yes
ise;PRON;O;2;yes
tead;VERB;O;1;no
ega;ADV;O;1;yes
jäta;VERB;O;1;no
teen;VERB;O;2;yes
vaatlusi;NOUN;O;1;no
kas;ADV;O;4;yes
või;ADV;O;4;yes
öösel;ADV;O;1;no
lühidalt;ADV;O;1;no
rahvas;NOUN;O;1;no
räägib;VERB;O;1;no
siin;ADV;O;2;yes
teie;PRON;O;6;yes
kandis;VERB;O;1;no
tõsi;NOUN;O;1;no
kusagil;ADV;O;3;yes
teisel;PRON;O;1;yes
pool;NUM;O;4;yes
jõge;NOUN;O;1;no
otse;ADV;O;1;no
idas;NOUN;O;1;no
muide;ADV;O;1;yes
ikka;ADV;O;6;yes
oskad;VERB;O;1;no
ilmakaari;NOUN;O;1;no
määrata;VERB;O;1;no
teil;PRON;O;2;yes
kamba;NOUN;O;4;no
mõni;DET;O;1;yes
kompass;NOUN;O;1;no
kaon;NOUN;O;1;no
olgu;VERB;O;1;yes
räägitakse;VERB;O;1;no
lageda;NOUN;O;1;no
peal;ADP;O;1;yes
mingid;DET;O;1;yes
koopad;NOUN;O;1;no
vanad;ADJ;O;1;no
maa-alused;ADJ;O;1;no
käigud;NOUN;O;1;no
mingid;PRON;O;1;yes
õhuavad;VERB;O;1;no
siit;ADV;O;1;yes
juurest;ADP;O;1;yes
fosforiidikaevanduse;NOUN;O;1;no
poole;ADP;O;3;yes
minnes;VERB;O;1;yes
arvan;VERB;O;1;no
tasuks;VERB;O;1;no
uurida;VERB;O;1;no
vaatan;VERB;O;1;no
põlluorja;NOUN;O;1;no
elu;NOUN;O;1;no
uuriks;VERB;O;1;no
läbimaid;ADJ;O;1;no
saaju;NOUN;O;1;no
jah;ADV;O;3;yes
vaadake;VERB;O;1;no
mehed;NOUN;O;2;no
nende;PRON;O;3;yes
koobaste;NOUN;O;1;no
ligidal;ADP;O;1;yes
pimeda;NOUN;O;1;no
jää;VERB;O;1;no
piiril;NOUN;O;1;no
lopsaka;ADJ;O;1;no
lepavõsa;NOUN;O;1;no
kadus;VERB;O;1;no
vajasin;VERB;O;1;no
tükk;NOUN;O;4;no
üksindust;NOUN;O;1;no
hiilisin;VERB;O;1;no
inimesi;NOUN;O;1;no
vältides;VERB;O;1;no
vaiksele;ADJ;O;1;no
ääremaale;NOUN;O;1;no
laugelt;NOUN;O;1;no
langevale;ADJ;O;1;no
jõeveerele;NOUN;O;1;no
toominga;NOUN;O;1;no
padrikusse;NOUN;O;1;no
peitunud;ADJ;O;1;no
väikesele;ADJ;O;1;no
lagendikule;NOUN;O;1;no
ronisin;VERB;O;2;no
ainukese;ADJ;O;1;no
kasvava;ADJ;O;1;no
madala;ADJ;O;1;no
ent;CCONJ;O;2;yes
jässakaia;ADJ;O;1;no
tugeva;ADJ;O;1;no
männi;NOUN;O;1;no
kaua;ADV;O;4;no
puu;NOUN;O;2;no
teadsin;VERB;O;3;no
peast;NOUN;O;1;no
männisõbralikult;ADV;O;1;no
harali;ADJ;O;1;no
okste;NOUN;O;1;no
iga;DET;O;1;yes
mügarust;NOUN;O;1;no
mõhna;NOUN;O;1;no
meelest;ADP;O;3;yes
tundis;VERB;O;1;no
puuga;NOUN;O;1;no
mind;PRON;O;8;yes
teinud;VERB;O;7;yes
mulle;PRON;O;7;yes
liiga;ADV;O;3;yes
vaikis;VERB;O;1;no
koos;ADP;O;1;yes
minuga;PRON;O;2;yes
kuulsin;VERB;O;1;no
südamekloppimist;NOUN;O;1;no
tundus;VERB;O;2;no
tuksukski;VERB;O;1;no
rinnus;NOUN;O;1;no
vaid;CCONJ;O;3;yes
kuulmenahkades;NOUN;O;1;no
surusin;VERB;O;1;no
käe;NOUN;O;1;no
koguni;ADV;O;3;yes
rinnale;NOUN;O;1;no
põksus;VERB;O;1;no
süda;NOUN;O;1;no
mitte;ADV;O;5;yes
kõrvades;NOUN;O;1;no
läks;VERB;O;1;yes
viimaks;ADV;O;3;no
minusse;PRON;O;1;yes
imbunud;VERB;O;1;no
piisavalt;ADV;O;1;no
sooja;ADJ;O;1;no
magus;ADJ;O;1;no
kirbet;ADJ;O;1;no
vaiguhõngu;NOUN;O;1;no
alati;ADV;O;3;yes
polnudki;AUX;O;3;no
lõhn;NOUN;O;1;no
enamat;ADJ;O;1;yes
puudutus;NOUN;O;1;no
silitus;NOUN;O;1;no
uskunud;VERB;O;1;no
hästi;ADV;O;1;no
isegi;ADV;O;1;yes
koolivend;NOUN;O;1;no
külas;NOUN;O;1;no
käinud;VERB;O;1;no
rääkimata;VERB;O;1;no
hingematvast;ADJ;O;1;no
ärevusest;NOUN;O;1;no
mille;PRON;O;2;yes
endaga;PRON;O;1;yes
kaasa;ADV;O;2;no
tõi;VERB;O;2;no
palav;ADJ;O;1;no
otsast;ADP;O;1;yes
silitasin;VERB;O;1;no
hüvastijätuks;NOUN;O;1;no
tüve;NOUN;O;1;no
jooksin;VERB;O;1;no
kust;ADV;O;2;yes
hüüdeid;NOUN;O;1;no
naeru;NOUN;O;1;no
veeb;NOUN;O;1;no
Ladinat;PROPN;O;1;no
aeg;NOUN;O;2;no
asja;NOUN;O;2;no
juurde;ADP;O;1;yes
asuda;VERB;O;1;no
ära;ADV;O;4;yes
püüan;VERB;O;1;no
anda;VERB;O;1;no
parima;ADJ;O;1;no
pole;AUX;O;2;yes
kergem;ADJ;O;1;no
lugu;NOUN;O;1;no
polegi;AUX;O;1;no
niivõrd;ADV;O;1;yes
selles;PRON;O;4;yes
aastakümneid;NOUN;O;1;no
mälus;NOUN;O;1;no
korvamatu;ADJ;O;1;no
kustutustöö;NOUN;O;1;no
vaid;ADV;O;5;yes
pigem;ADV;O;1;yes
mida;PRON;O;3;yes
mäletame;VERB;O;1;no
lapsepõlvest;NOUN;O;1;no
mällu;NOUN;O;1;no
talletunud;VERB;O;1;no
teisiti;ADV;O;1;no
ülejäänud;ADJ;O;1;no
ühelt;PRON;O;1;yes
poolt;ADV;O;2;yes
süsteemitult;ADV;O;1;no
teisalt;ADV;O;1;no
loomulikumalt;ADV;O;1;no
paraku;ADV;O;1;no
abstraktsemaid;ADJ;O;1;no
hilisem;ADJ;O;1;no
vähemalt;ADV;O;2;yes
niimoodi;ADV;O;3;yes
lapsepõlv;NOUN;O;1;no
teine;PRON;O;1;yes
aegruum;NOUN;O;1;no
aeglane;ADJ;O;1;no
pilvesõud;NOUN;O;1;no
sinise;ADJ;O;1;no
taevavõlvi;NOUN;O;1;no
kõiki;PRON;O;1;yes
väga;ADV;O;5;yes
õhku;NOUN;O;1;no
ruumi;NOUN;O;2;no
imelikke;ADJ;O;1;no
mõtteid;NOUN;O;1;no
sinule;PRON;O;1;yes
kuuluvat;ADJ;O;1;no
õnnestav;ADJ;O;1;no
hirmutav;ADJ;O;1;no
samas;ADV;O;3;yes
iseloomulik;ADJ;O;1;no
ainuvõimalik;ADJ;O;1;no
ise;ADV;O;1;yes
väike;ADJ;O;2;no
muu;PRON;O;1;yes
tähtsust;NOUN;O;1;no
päevadel;NOUN;O;1;no
nimetustel;NOUN;O;1;no
järjestusel;NOUN;O;1;no
üksainuski;NOUN;O;1;no
neist;PRON;O;1;yes
pikk;ADJ;O;1;no
värviline;ADJ;O;1;no
täiskasvanud;ADJ;O;1;no
inimese;NOUN;O;1;no
aasta;NOUN;O;1;no
mäletan;VERB;O;1;no
sel;DET;O;1;yes
päeval;NOUN;O;1;no
kõvasti;ADV;O;3;no
vihma;NOUN;O;3;no
sadanud;VERB;O;1;no
oodatud;ADJ;O;1;no
treeningsõidud;NOUN;O;1;no
ringrajal;NOUN;O;1;no
jäid;VERB;O;1;no
pika;ADJ;O;2;no
ootamise;NOUN;O;1;no
järel;ADP;O;2;yes
siiski;ADV;O;4;yes
niisiis;ADV;O;2;yes
olime;AUX;O;4;yes
üsna;ADV;O;1;yes
asjatu;ADJ;O;1;no
matkatrassi;NOUN;O;1;no
tagasiteel;NOUN;O;1;no
veidi;ADV;O;1;no
mossis;ADJ;O;1;no
päev;NOUN;O;1;no
enam-vähem;ADV;O;1;no
nurja;NOUN;O;1;no
läinud;VERB;O;1;yes
kirgastanud;VERB;O;1;no
ükski;DET;O;2;no
terav;ADJ;O;1;no
idee;NOUN;O;1;no
Väike-Arvi;PROPN;O;2;no
hädaldaseta;ADJ;O;1;no
sandaletid;NOUN;O;1;no
märjad;ADJ;O;1;no
kaks;NUM;O;1;no
aastat;NOUN;O;1;no
vanem;ADJ;O;1;no
Tõnu;PROPN;O;1;no
poisi;NOUN;O;3;no
onu;NOUN;O;2;no
sest;SCONJ;O;5;yes
Arvi;PROPN;O;4;no
ema;NOUN;O;1;no
Tõnni;PROPN;O;1;no
vanematest;NOUN;O;1;no
õdedest;NOUN;O;1;no
togis;NOUN;O;1;no
piripilli;NOUN;O;1;no
kuklasse;NOUN;O;1;no
sosistas;VERB;O;1;no
läbi;ADP;O;4;yes
nina;NOUN;O;2;no
tähendab;VERB;O;1;no
eriti;ADV;O;1;no
metsikut;ADJ;O;1;no
aimamatut;ADJ;O;1;no
meeleolu;NOUN;O;1;no
kawellaksed;NOUN;O;1;no
Villem;PROPN;O;10;no
Mart;PROPN;O;5;no
olid;AUX;O;5;yes
hakanud;VERB;O;1;yes
omavahel;ADV;O;1;yes
vaikselt;ADV;O;2;no
mäklema;VERB;O;1;no
paha;ADJ;O;1;no
märk;NOUN;O;1;no
koduse;ADJ;O;1;no
linnuse;NOUN;O;2;no
lähedusse;NOUN;O;1;no
tegime;VERB;O;1;yes
peatuse;NOUN;O;1;no
vanal;ADJ;O;1;no
puusilla;NOUN;O;1;no
alla;ADP;O;4;yes
rinnutasime;VERB;O;1;no
piirde;NOUN;O;1;no
najale;NOUN;O;1;yes
hakkasime;VERB;O;1;yes
vette;NOUN;O;1;no
sülitama;VERB;O;1;no
sülitad;VERB;O;1;no
pealegi;ADV;O;1;no
tibutada;VERB;O;1;no
mitu;DET;O;3;yes
tookord;ADV;O;1;no
koos;ADV;O;2;yes
võis;AUX;O;2;yes
tosinat;NUM;O;1;no
poissi;NOUN;O;2;no
ehk;ADV;O;2;yes
ütleme;VERB;O;1;no
Tiit;PROPN;O;8;no
Raivo;PROPN;O;5;no
Tõnn;PROPN;O;4;no
parim;ADJ;O;1;no
koosseis;NOUN;O;1;no
suurte;ADJ;O;1;no
tegude;NOUN;O;1;no
alustamiseks;NOUN;O;1;no
mõned;PRON;O;1;yes
meist;PRON;O;1;yes
tõesti;ADV;O;2;yes
liidrid;NOUN;O;2;no
raudvara;NOUN;O;1;no
näiteks;ADV;O;1;no
tülikas;ADJ;O;2;no
väikemees;NOUN;O;1;no
keda;PRON;O;1;yes
eraldi;ADV;O;1;no
õue;NOUN;O;1;no
vilistatud;VERB;O;1;no
teha;VERB;O;1;yes
elas;VERB;O;1;no
Tõnuga;PROPN;O;1;no
Arvil;PROPN;O;1;no
oodata;VERB;O;1;no
suurpäeva;NOUN;O;2;no
mil;ADV;O;2;yes
kamp;NOUN;O;3;no
talle;PRON;O;3;yes
