lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
pidama;VERB;O;7;yes;3575612;8801;932062935
kodanik;NOUN;O;3;no;136403;8801;932062935
,;PUNCT;O;1038;no;0;8801;932062935
ülekuulamine;NOUN;O;8;no;4980;8801;932062935
alustama;VERB;O;4;no;424959;8801;932062935
.;PUNCT;O;237;no;0;8801;932062935
väljas;ADV;O;1;yes;98422;8801;932062935
uluma;VERB;O;1;no;594;8801;932062935
kõle;ADJ;O;1;no;3506;8801;932062935
tuul;NOUN;O;1;no;112071;8801;932062935
aga;CCONJ;O;88;yes;4543343;8801;932062935
mitte;ADV;O;19;yes;1397004;8801;932062935
sellepärast;ADV;O;8;yes;114174;8801;932062935
et;SCONJ;O;287;yes;12213661;8801;932062935
talv;NOUN;O;1;no;126645;8801;932062935
olema;VERB;O;28;yes;44175173;8801;932062935
pea;NOUN;O;2;yes;490501;8801;932062935
saabuma;VERB;O;1;no;119244;8801;932062935
vaid;ADV;O;6;yes;1233871;8801;932062935
seepärast;ADV;O;1;yes;94198;8801;932062935
rahaliit;NOUN;O;10;no;1666;8801;932062935
mis;PRON;O;108;yes;9028438;8801;932062935
liige;NOUN;O;3;no;420034;8801;932062935
mina;PRON;O;254;yes;11780658;8801;932062935
õige;ADV;O;1;no;397744;8801;932062935
pea;ADV;O;1;yes;490501;8801;932062935
astuma;VERB;O;6;no;216142;8801;932062935
tulevik;NOUN;O;3;no;229787;8801;932062935
muutuma;VERB;O;6;no;460296;8801;932062935
iga;DET;O;7;yes;1374684;8801;932062935
päev;NOUN;O;3;no;1360298;8801;932062935
järjest;ADV;O;1;no;131504;8801;932062935
segasem;ADJ;O;1;no;2883;8801;932062935
tänane;ADJ;O;9;no;180017;8801;932062935
toimik;NOUN;O;4;no;10442;8801;932062935
vahel;ADP;O;1;yes;555453;8801;932062935
olema;AUX;O;472;yes;44175173;8801;932062935
euro;NOUN;O;32;no;559773;8801;932062935
