word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount
kutsume;VERB;O;2;no;14448;14924;932062911
teid;PRON;O;6;yes;90143;14924;932062911
kuulama;VERB;O;2;no;19469;14924;932062911
valitud;ADJ;O;3;no;119609;14924;932062911
palu;NOUN;O;1;no;7944;14924;932062911
2008.;ADJ;O;2;no;0;14924;932062911
aasta;NOUN;O;8;no;2;14924;932062911
persoone;NOUN;O;2;no;523;14924;932062911
saadetest;NOUN;O;2;no;630;14924;932062911
.;PUNCT;O;482;no;0;14924;932062911
saatejuht;NOUN;O;2;no;20537;14924;932062911
on;AUX;O;378;yes;1;14924;932062911
Marie;PROPN;O;2;no;12832;14924;932062911
Lenk;PROPN;O;1;no;1536;14924;932062911
liini;NOUN;O;1;no;14905;14924;932062911
Volksooperisolist;PROPN;O;1;no;0;14924;932062911
Annely;PROPN;O;2;no;3975;14924;932062911
Peebo;PROPN;O;3;no;738;14924;932062911
,;PUNCT;O;1526;no;0;14924;932062911
kui;SCONJ;O;127;yes;1;14924;932062911
te;PRON;O;39;yes;1;14924;932062911
väike;ADJ;O;11;no;261928;14924;932062911
tüdruk;NOUN;O;1;no;58219;14924;932062911
olite;VERB;O;1;yes;6363;14924;932062911
siis;ADV;O;263;yes;1;14924;932062911
teile;PRON;O;9;yes;136281;14924;932062911
meeldis;VERB;O;3;no;72052;14924;932062911
igal;DET;O;6;yes;1;14924;932062911
pool;ADV;O;4;yes;1;14924;932062911
laulda;VERB;O;3;no;14195;14924;932062911
ka;ADV;O;128;yes;3;14924;932062911
bussis;NOUN;O;2;no;12209;14924;932062911
mulle;PRON;O;32;yes;1;14924;932062911
nagu;SCONJ;O;120;yes;1;14924;932062911
väga;ADV;O;124;yes;2;14924;932062911
halb;ADJ;O;1;no;68936;14924;932062911
mälu;NOUN;O;1;no;32297;14924;932062911
mis;PRON;O;75;yes;1;14924;932062911
mu;PRON;O;14;yes;521240;14924;932062911
mineviku;NOUN;O;1;no;11868;14924;932062911
poolt;ADP;O;5;yes;1;14924;932062911
aga;CCONJ;O;128;yes;1;14924;932062911
mäletan;VERB;O;8;no;49289;14924;932062911
ema;NOUN;O;8;no;219976;14924;932062911
ikka;ADV;O;35;yes;1;14924;932062911
rääkisete;NOUN;O;1;no;0;14924;932062911
olin;AUX;O;14;yes;257637;14924;932062911
laulnud;VERB;O;1;no;4553;14924;932062911
testi;NOUN;O;1;no;38935;14924;932062911
ja;CCONJ;O;500;yes;1;14924;932062911
ma;PRON;O;257;yes;2;14924;932062911
ükskord;ADV;O;1;no;1;14924;932062911
need;PRON;O;18;yes;1283582;14924;932062911
kommikesi;NOUN;O;1;no;39;14924;932062911
laulmise;NOUN;O;1;no;2292;14924;932062911
peale;ADP;O;25;yes;1;14924;932062911
sajandis;NOUN;O;1;no;626;14924;932062911
loomulikult;ADV;O;6;no;169687;14924;932062911
laps;NOUN;O;1;no;189997;14924;932062911
veelgi;ADV;O;1;yes;149575;14924;932062911
