lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
see;DET;O;48;yes;18818291;3415;932062935;0.6961855012687975
tähtpäev;NOUN;O;1;no;17489;3415;932062935;14.866900422051792
puhul;ADP;O;2;yes;590821;3415;932062935;0.9240275850858588
olema;AUX;O;182;yes;44175173;3415;932062935;1.1244668187197946
stuudio;NOUN;O;1;no;39576;3415;932062935;6.76073078987859
paluma;VERB;O;1;no;368602;3415;932062935;0.7411065333134556
ajaloodoktor;NOUN;O;1;no;391;3415;932062935;206.99250283433733
Ants;PROPN;O;2;no;22911;3415;932062935;22.933133851202
viir;NOUN;O;1;no;2864;3415;932062935;72.14424866298856
,;PUNCT;O;233;no;1;3415;932062935;68156.27998162594
kes;PRON;O;11;yes;3572036;3415;932062935;0.8405293608294897
Ilmar;PROPN;O;9;no;10943;3415;932062935;206.93115353387785
talv;PROPN;O;8;no;126645;3415;932062935;17.122109380679895
kolleegia;NOUN;O;1;no;1;3415;932062935;293.51086411228425
hea;ADJ;O;2;no;1639322;3415;932062935;0.3333606458090857
sõber;NOUN;O;1;no;328431;3415;932062935;0.8314961182427473
.;PUNCT;O;186;no;1;3415;932062935;54408.21899661239
kaks;NUM;O;4;no;1334057;3415;932062935;0.8184787986837445
mees;NOUN;O;4;no;1070078;3415;932062935;1.0202147321498047
elutee;NOUN;O;1;no;6590;3415;932062935;36.408111802509694
ristuma;VERB;O;1;no;2790;3415;932062935;73.5785807778111
sõda;NOUN;O;2;no;113932;3415;932062935;4.760376219848785
ajal;ADP;O;4;no;317252;3415;932062935;3.4340508270842904
Tartu;PROPN;O;1;no;584074;3415;932062935;0.468138923123303
tolleaegne;ADJ;O;4;no;9358;3415;932062935;106.18596323356466
Eesti;PROPN;O;21;no;2594139;3415;932062935;2.2089973172447426
Rahvas;PROPN;O;2;no;16604;3415;932062935;31.181238099895555
Muuseum;PROPN;O;1;no;13355;3415;932062935;19.168677954941348
ja;CCONJ;O;106;yes;29978049;3415;932062935;0.9650671186364166
siit;ADV;O;3;yes;235682;3415;932062935;3.464410309898483
jätkama;VERB;O;3;no;242503;3415;932062935;3.3673382511781362
juba;ADV;O;13;yes;1850492;3415;932062935;1.9169290947600286
Viires;PROPN;O;1;no;199;3415;932062935;242.1298584264846
too;DET;O;1;yes;163922;3415;932062935;1.6612517971787903
aeg;NOUN;O;15;no;2435622;3415;932062935;1.6806164107117343
tema;PRON;O;114;yes;9154483;3415;932062935;3.398555392986364
kirjutama;VERB;O;7;no;789966;3415;932062935;2.4168176282511036
ka;ADV;O;40;yes;7941300;3415;932062935;1.3747034576599884
oma;PRON;O;15;yes;4535142;3415;932062935;0.9027438015651268
magistritöö;NOUN;O;1;no;9014;3415;932062935;27.534926142410754
see;PRON;O;77;yes;18818291;3415;932062935;1.1167676522844103
tõrv;ADJ;O;1;no;4399;3415;932062935;51.37138909484552
söe;NOUN;O;1;no;1;3415;932062935;293.51086411228425
põletamine;NOUN;O;1;no;11206;3415;932062935;22.56242283382049
niisugune;DET;O;9;yes;62699;3415;932062935;38.61825275395971
teema;NOUN;O;1;no;630317;3415;932062935;0.4338447760217809
käsil;ADV;O;1;no;11404;3415;932062935;22.200284626141475
mina;PRON;O;61;yes;11780658;3415;932062935;1.413203713816443
jääma;VERB;O;4;no;1700272;3415;932062935;0.6422864066065455
kohe;ADV;O;4;yes;541194;3415;932062935;2.0155095266430396
mulje;NOUN;O;1;no;101650;3415;932062935;2.669707554005081
et;SCONJ;O;55;yes;12213661;3415;932062935;1.2290376340763212
üks;DET;O;13;yes;3226979;3415;932062935;1.0994877441734492
väga;ADV;O;16;yes;2222237;3415;932062935;1.9646930420021824
tõsine;ADJ;O;3;no;97663;3415;932062935;8.314089719070399
töömurdja;NOUN;O;1;no;47;3415;932062935;279.7206374920057
tegema;VERB;O;11;yes;3824200;3415;932062935;0.7851191835448972
töö;NOUN;O;14;no;1225560;3415;932062935;3.1161886928325524
nagu;SCONJ;O;17;yes;1699877;3415;932062935;2.728570146799751
härg;NOUN;O;1;no;7392;3415;932062935;32.900292857167614
umbes;ADV;O;3;yes;373181;3415;932062935;2.191124235727116
tunne;NOUN;O;1;no;249502;3415;932062935;1.093557741760055
võrdlema;VERB;O;1;no;254702;3415;932062935;1.0713130526452161
teine;DET;O;4;yes;2482902;3415;932062935;0.43990871241851176
kolleeg;NOUN;O;2;no;72288;3415;932062935;7.467845994565701
seal;ADV;O;15;yes;911658;3415;932062935;4.487132733601304
nägema;VERB;O;11;no;1467770;3415;932062935;2.044788141851917
murdma;VERB;O;1;no;58575;3415;932062935;4.6022118184884695
hoopis;ADV;O;2;yes;292576;3415;932062935;1.862968084226297
järjekindlamalt;ADV;O;1;no;180;3415;932062935;246.2667351852655
või;CCONJ;O;4;yes;4113697;3415;932062935;0.2655549814513712
teine;PRON;O;4;yes;2482902;3415;932062935;0.43990871241851176
siis;ADV;O;34;yes;4824773;3415;932062935;1.9231638662314587
selguma;VERB;O;1;no;197232;3415;932062935;1.3820069303525766
kirjanik;NOUN;O;2;no;67765;3415;932062935;7.9595273851570285
alge;NOUN;O;2;no;4169;3415;932062935;107.19259116746974
südamelähedane;ADJ;O;2;no;5473;3415;932062935;85.3693647135082
saama;AUX;O;7;yes;7285093;3415;932062935;0.2623455675955326
lugema;VERB;O;4;no;754112;3415;932062935;1.4471476541906683
esimene;ADJ;O;5;no;1420248;3415;932062935;0.9608861857059617
käsikiri;NOUN;O;2;no;12453;3415;932062935;40.85122022707832
jäänud;ADJ;O;1;no;718;3415;932062935;165.97191689721467
romaan;NOUN;O;7;no;47968;3415;932062935;39.08903723072394
mis;PRON;O;33;yes;9028438;3415;932062935;0.9975988909475323
pealkiri;NOUN;O;1;no;91041;3415;932062935;2.977655626371188
nisu;NOUN;O;1;no;5761;3415;932062935;40.91760543455791
umbrohi;NOUN;O;1;no;8434;3415;932062935;29.240045707956174
sina;PRON;O;10;yes;3743020;3415;932062935;0.7292434494138826
vähene;ADJ;O;4;no;96002;3415;932062935;11.272201034425532
ilmselt;ADV;O;1;no;335183;3415;932062935;0.8147927258349492
küllap;ADV;O;2;no;40199;3415;932062935;13.29399521172351
üsna;ADV;O;11;yes;309067;3415;932062935;9.68772142008906
lugeja;NOUN;O;1;no;103536;3415;932062935;2.621510350904011
hulka;ADP;O;3;yes;102012;3415;932062935;7.9628506562497705
kuuluv;ADJ;O;1;no;106508;3415;932062935;2.5489943028856823
lähtuma;VERB;O;1;no;89390;3415;932062935;3.0320842928496843
koolipõlv;NOUN;O;1;no;58;3415;932062935;276.6128279744097
kogemus;NOUN;O;1;no;330671;3415;932062935;0.8258793085294158
kooliõpilane;NOUN;O;1;no;6436;3415;932062935;37.16907832343239
elu;NOUN;O;9;no;946740;3415;932062935;2.593007188390118
veel;ADV;O;16;yes;1875606;3415;932062935;2.3276078835893035
algajalik;ADJ;O;1;no;78;3415;932062935;271.1356875232672
selgesti;ADV;O;2;no;6589;3415;932062935;72.7019782225753
oluline;ADJ;O;5;no;606448;3415;932062935;2.2483324251311694
sügissuvi;NOUN;O;1;no;39;3415;932062935;282.0250865851389
1942;NUM;O;1;no;1;3415;932062935;293.51086411228425
osa;NOUN;O;6;no;998668;3415;932062935;1.6391799040628028
võtma;VERB;O;5;no;2139597;3415;932062935;0.6379695158179867
noor;ADJ;O;3;no;546822;3415;932062935;1.4965260042192632
teadlane;NOUN;O;2;no;100968;3415;932062935;5.366004082448689
Vadja;PROPN;O;1;no;337;3415;932062935;215.80025763103242
ekspeditsioon;NOUN;O;3;no;7193;3415;932062935;100.88884303503335
saksa;ADJ;O;3;no;68213;3415;932062935;11.855194923599536
Leningrad;PROPN;O;2;no;8394;3415;932062935;58.630974026446275
lind;NOUN;O;1;no;79022;3415;932062935;3.425268188630221
lähedane;ADJ;O;1;no;79620;3415;932062935;3.3998397849100863
tagala;NOUN;O;2;no;3596;3415;932062935;120.75718945611084
organiseerima;VERB;O;2;no;31161;3415;932062935;17.03783010111709
muuseum;NOUN;O;2;no;106013;3415;932062935;5.112869530436621
direktor;NOUN;O;1;no;74459;3415;932062935;3.6325805428570743
Eerik;PROPN;O;1;no;4858;3415;932062935;47.29898645272569
Laid;PROPN;O;1;no;571;3415;932062935;182.2040195030118
professor;NOUN;O;10;no;52194;3415;932062935;51.391960291795364
Gustav;PROPN;O;1;no;15744;3415;932062935;16.42258783685708
ränk;PROPN;O;1;no;12997;3415;932062935;19.661344743790846
Paul;PROPN;O;2;no;43779;3415;932062935;12.229549418360037
Ariste;PROPN;O;2;no;1098;3415;932062935;269.34936069407536
raske;ADJ;O;2;no;359916;3415;932062935;1.5153085463825349
ette;ADV;O;2;yes;724550;3415;932062935;0.7537004450514979
kujutama;VERB;O;1;no;141206;3415;932062935;1.9267471546184833
tingimus;NOUN;O;1;no;237223;3415;932062935;1.1499403159769912
toimuma;VERB;O;3;no;894727;3415;932062935;0.9152234740000302
rindevahetus;NOUN;O;1;no;1;3415;932062935;293.51086411228425
küllalt;ADV;O;3;no;24825;3415;932062935;31.82537547730624
keeruline;ADJ;O;1;no;172672;3415;932062935;1.5775213073528875
laid;NOUN;O;1;no;4659;3415;932062935;48.98247641045274
kui;SCONJ;O;28;yes;8878634;3415;932062935;0.8607435633259486
organisaator;NOUN;O;1;no;2066;3415;932062935;91.3470178113503
tulema;VERB;O;14;yes;3338518;3415;932062935;1.1444940413356048
toime;NOUN;O;1;no;117449;3415;932062935;2.31341146576261
kõik;DET;O;2;yes;3138760;3415;932062935;0.17415598178116884
osaleja;NOUN;O;1;no;139653;3415;932062935;1.9480313385044055
pidama;AUX;O;4;yes;3575612;3415;932062935;0.30550727888706974
kandma;VERB;O;1;no;395681;3415;932062935;0.6905070304451296
mingi;DET;O;6;yes;1065354;3415;932062935;1.5366648709192103
munder;NOUN;O;3;no;3734;3415;932062935;175.67877041482348
kus;ADV;O;10;yes;1607926;3415;932062935;1.6970126698648664
pank;NOUN;O;1;no;113188;3415;932062935;2.3997893208224084
näiteks;ADV;O;5;no;259375;3415;932062935;5.246082355498614
mäletamine;NOUN;O;1;no;7325;3415;932062935;33.16725456483325
järgi;ADP;O;1;yes;472793;3415;932062935;0.5781077037095061
vana;ADJ;O;6;no;443780;3415;932062935;3.684461186973592
kaitseliit;NOUN;O;1;no;11974;3415;932062935;21.219802638673105
selg;NOUN;O;1;no;164973;3415;932062935;1.6507278528943474
talv;NOUN;O;13;no;126645;3415;932062935;27.818861567515075
vist;ADV;O;4;yes;352175;3415;932062935;3.0944162810136526
sõjavägi;NOUN;O;1;no;32824;3415;932062935;8.113034652481286
angima;VERB;O;1;no;1;3415;932062935;293.51086411228425
ei;AUX;O;25;yes;10355923;3415;932062935;0.6589097902950621
teadma;VERB;O;6;no;1482699;3415;932062935;1.10440147567519
iga;DET;O;4;yes;1374684;3415;932062935;0.794306110496913
juht;NOUN;O;1;no;823361;3415;932062935;0.332241190224101
tõhus;ADJ;O;1;no;60593;3415;932062935;4.451260921298465
joonistaja;NOUN;O;1;no;1032;3415;932062935;139.4375421696933
niimoodi;ADV;O;2;yes;68305;3415;932062935;7.8974487150664165
kaasas;ADV;O;1;yes;85601;3415;932062935;3.1648493539250926
tuntud;ADJ;O;3;no;150304;3415;932062935;5.420190020757779
kunstnik;NOUN;O;2;no;93493;3415;932062935;5.79079469703282
lend;NOUN;O;1;no;79420;3415;932062935;3.408302143338047
tulemus;NOUN;O;2;no;581795;3415;932062935;0.9383400711766504
hiljem;ADV;O;2;no;361314;3415;932062935;1.5094605840039268
avaldama;VERB;O;8;no;239828;3415;932062935;9.07288525933261
alles;ADV;O;1;yes;354000;3415;932062935;0.7715958543118374
kaheksakümnes;ADJ;O;1;no;2574;3415;932062935;78.11157797228593
aasta;NOUN;O;14;no;4045959;3415;932062935;0.9444239142911431
kogutud;ADJ;O;1;no;39148;3415;932062935;6.832926105109524
materjal;NOUN;O;2;no;261961;3415;932062935;2.0799185326779925
Soome;PROPN;O;16;no;258945;3415;932062935;16.807350136304198
soome-ugri;ADJ;O;3;no;10446;3415;932062935;72.04461812013895
selts;NOUN;O;1;no;74754;3415;932062935;3.6184219089080054
väljaanne;NOUN;O;1;no;45686;3415;932062935;5.874635089511236
