word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tere;INTJ;O;1;yes;149143;5229;932062911;1.1939415327087262
õhtust;NOUN;O;1;no;10221;5229;932062911;16.065618212966058
,;PUNCT;O;482;no;1;5229;932062911;92080.4446647523
tänase;ADJ;O;1;no;39179;5229;932062911;4.467117987645736
keskeprogrammi;NOUN;O;1;no;1;5229;932062911;192.03512273495335
külaliseks;NOUN;O;1;no;3009;5229;932062911;45.465107936542104
on;AUX;O;113;yes;1;5229;932062911;21588.08890382839
Sirje;PROPN;O;2;no;2;5229;932062911;382.66120423620555
Medell;PROPN;O;1;no;161;5229;932062911;163.92546927549887
Saaremaalt;PROPN;O;4;no;7797;5229;932062911;81.7873832597323
.;PUNCT;O;233;no;1;5229;932062911;44512.43224071422
ütles;VERB;O;9;no;618630;5229;932062911;2.5908157527754296
Saaremaale;PROPN;O;4;no;13399;5229;932062911;49.81676643483904
esimest;ADJ;O;2;no;171652;5229;932062911;2.071046609558374
korda;NOUN;O;3;no;1;5229;932062911;574.1075116830505
läksid;VERB;O;2;yes;64010;5229;932062911;5.503823290083592
kas;ADV;O;14;yes;1;5229;932062911;2675.505650897584
teati;VERB;O;2;no;2014;5229;932062911;121.3245097452149
kes;PRON;O;13;yes;1;5229;932062911;2484.4694564235356
sa;PRON;O;38;yes;1;5229;932062911;7260.3743182747485
oled;AUX;O;10;yes;383406;5229;932062911;4.640237624726645
ja;CCONJ;O;281;yes;1;5229;932062911;53682.16957546855
kust;ADV;O;1;yes;187128;5229;932062911;0.952785231801798
tuled;VERB;O;2;yes;34285;5229;932062911;10.14933128463683
et;SCONJ;O;140;yes;1;5229;932062911;26746.0661546277
natukene;ADV;O;4;no;1;5229;932062911;765.143706157099
mõni;DET;O;2;yes;285029;5229;932062911;1.2499241495226885
inimene;NOUN;O;5;no;352593;5229;932062911;2.523657005181539
teadis;VERB;O;1;no;25587;5229;932062911;6.756681080121966
päris;ADV;O;7;yes;1;5229;932062911;1338.2522895792445
hästi;ADV;O;9;no;1;5229;932062911;1720.3246785273416
aga;CCONJ;O;68;yes;1;5229;932062911;12991.460152496205
üldiselt;ADV;O;3;no;1;5229;932062911;574.1075116830505
ma;PRON;O;122;yes;2;5229;932062911;23282.461929412562
mõistsin;VERB;O;2;no;6668;5229;932062911;47.02982627134673
aga;ADV;O;4;yes;1;5229;932062911;765.143706157099
mu;PRON;O;5;yes;521240;5229;932062911;1.708586239847637
nime;NOUN;O;1;no;1;5229;932062911;192.03512273495335
nii;ADV;O;49;yes;1;5229;932062911;9361.772457489284
väga;ADV;O;37;yes;2;5229;932062911;7061.769749079311
ikka;ADV;O;11;yes;1;5229;932062911;2102.3970674754387
ei;AUX;O;83;yes;13;5229;932062911;15655.65770453072
teata;VERB;O;1;no;14189;5229;932062911;11.849752341349665
Saaremaal;PROPN;O;4;no;42531;5229;932062911;16.426067699420805
vähemalt;ADV;O;2;yes;1;5229;932062911;383.0713172090019
Kuressaare;PROPN;O;3;no;97565;5229;932062911;5.438521822340855
linnas;NOUN;O;1;no;1;5229;932062911;192.03512273495335
tuntud;VERB;O;1;no;141729;5229;932062911;1.2559898754231276
teatud;ADJ;O;1;no;1;5229;932062911;192.03512273495335
need;PRON;O;9;yes;1283582;5229;932062911;1.2496329925529808
küll;ADV;O;15;yes;1;5229;932062911;2866.541845371633
jah;ADV;O;9;yes;408065;5229;932062911;3.924652028029733
sest;SCONJ;O;20;yes;1;5229;932062911;3821.7228177418756
tegemisi-toimetamisi;NOUN;O;1;no;34;5229;932062911;185.47534388608554
