lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
see;PRON;O;60;yes;18819336;4541;932020281;0.6543832509524875
olema;AUX;O;258;yes;44175299;4541;932020281;1.198705644301543
mahukas;ADJ;O;1;no;18956;4541;932020281;10.366925409284294
köis;NOUN;O;1;no;8259;4541;932020281;22.4325065648781
.;PUNCT;O;187;no;1;4541;932020281;41137.219063019555
valge;ADJ;O;2;no;242511;4541;932020281;1.690018571191835
kaas;NOUN;O;1;no;53273;4541;932020281;3.803662865960219
peal;ADV;O;1;yes;291839;4541;932020281;0.7042282483886968
nimi;NOUN;O;4;no;538710;4541;932020281;1.5230734439376263
,;PUNCT;O;456;no;1;4541;932020281;100311.78171683374
mis;PRON;O;26;yes;9028438;4541;932020281;0.5911063201048068
eestlane;NOUN;O;2;no;236274;4541;932020281;1.734455241964511
hästi;ADV;O;6;no;574427;4541;932020281;2.141976734355996
tuntud;ADJ;O;3;no;150304;4541;932020281;4.077526151948431
paul;PROPN;O;6;no;43966;4541;932020281;27.448997252676026
keres;PROPN;O;9;no;3648;4541;932020281;403.52276398034195
malekell;NOUN;O;1;no;49;4541;932020281;210.16652436715552
ja;CCONJ;O;181;yes;30008401;4541;932020281;1.237961071962753
algav;ADJ;O;2;no;28493;4541;932020281;13.982088079224882
malepartii;NOUN;O;1;no;148;4541;932020281;190.90162140340425
see;DET;O;55;yes;18819336;4541;932020281;0.5998554402195891
raamat;NOUN;O;19;no;523824;4541;932020281;7.4331657326980745
koondama;VERB;O;1;no;31409;4541;932020281;6.375111885773975
mina;PRON;O;103;yes;11806985;4541;932020281;1.7904283238565049
malesuurune;ADJ;O;1;no;1;4541;932020281;220.97871502908976
kõik;DET;O;15;yes;3161580;4541;932020281;0.973787937623165
partii;NOUN;O;16;no;14414;4541;932020281;214.05299877749874
kui;SCONJ;O;49;yes;8931430;4541;932020281;1.1260142077153679
siin;ADV;O;10;yes;862092;4541;932020281;2.379294199386271
leht;NOUN;O;2;no;285755;4541;932020281;1.4350954043844004
pöörama;VERB;O;1;no;132027;4541;932020281;1.5506854845629703
siis;ADV;O;86;yes;4827992;4541;932020281;3.655483863909168
nägema;VERB;O;5;no;1467770;4541;932020281;0.6993658472920051
et;SCONJ;O;88;yes;12219169;4541;932020281;1.4781011229959664
foto;NOUN;O;3;no;249196;4541;932020281;2.4654128198815943
tema;PRON;O;76;yes;9154483;4541;932020281;1.703865720616693
abi;NOUN;O;3;no;356681;4541;932020281;1.7244026163472002
kaasa;ADV;O;3;no;517303;4541;932020281;1.1899404781213117
maria;PROPN;O;2;no;50079;4541;932020281;8.065379265804701
saatesõna;NOUN;O;2;no;1346;4541;932020281;180.60560247572286
lehekülg;NOUN;O;1;no;72459;4541;932020281;2.8093031273042137
kus;ADV;O;11;yes;1609423;4541;932020281;1.402568762447141
tavaliselt;ADV;O;1;no;193209;4541;932020281;1.0619992750271863
tegija;NOUN;O;2;no;67694;4541;932020281;5.9951491229898455
või;CCONJ;O;20;yes;4123906;4541;932020281;0.995395225291901
lugema;VERB;O;4;no;754128;4541;932020281;1.0885418486559
koostaja;NOUN;O;1;no;15868;4541;932020281;12.2724627317645
hendrik;PROPN;O;2;no;21098;4541;932020281;18.67557179040622
olde;PROPN;O;3;no;1149;4541;932020281;296.330042259872
kes;PRON;O;35;yes;3572087;4541;932020281;2.0107724216878315
ostma;VERB;O;2;no;512016;4541;932020281;0.8020758615591053
maleelu;NOUN;O;1;no;123;4541;932020281;195.42526954651052
kurss;NOUN;O;1;no;61473;4541;932020281;3.3038627639743536
teadma;VERB;O;8;no;1482710;4541;932020281;1.1073404621240908
aga;CCONJ;O;46;yes;4573369;4541;932020281;2.0641907241998982
alles;ADV;O;3;yes;354356;4541;932020281;1.7356870837487082
sirvima;VERB;O;1;no;10302;4541;932020281;18.352968717723137
kavatsema;VERB;O;1;no;82912;4541;932020281;2.459061744659475
võib-olla;ADV;O;9;yes;138681;4541;932020281;13.237608062309478
ka;ADV;O;39;yes;7949676;4541;932020281;1.0069054464473537
küsima;VERB;O;3;no;448244;4541;932020281;1.372889023386865
ise;PRON;O;18;yes;3519608;4541;932020281;1.0496551222770454
käest;ADP;O;2;yes;54307;4541;932020281;7.448054350149899
koostama;VERB;O;1;no;97248;4541;932020281;2.0999957241948155
jon;PROPN;O;1;no;3691;4541;932020281;44.59803553941196
pealegi;ADV;O;2;no;52529;4541;932020281;7.695760820489616
väga;ADV;O;6;yes;2228455;4541;932020281;0.5528002200301788
väike;ADJ;O;3;no;698525;4541;932020281;0.8816393429929978
täht;NOUN;O;1;no;97055;4541;932020281;2.1041319778905327
tagasihoidlikult;ADV;O;1;no;4412;4541;932020281;38.58099557078763
kas;ADV;O;17;yes;2001493;4541;932020281;1.742940298692961
mitte;ADV;O;11;yes;1399096;4541;932020281;1.6132774595773676
omaaegne;ADJ;O;1;no;8949;4541;932020281;20.866025666187
eesti;PROPN;O;29;no;3051164;4541;932020281;1.9504807363617158
koolinoor;NOUN;O;2;no;7029;4541;932020281;51.679710738061424
malemeister;NOUN;O;1;no;435;4541;932020281;150.82265102946212
esikoht;NOUN;O;1;no;46510;4541;932020281;4.345886232716613
jagaja;NOUN;O;1;no;6840;4541;932020281;26.52818898266334
olema;VERB;O;30;yes;44175299;4541;932020281;0.13940302179168645
sina;PRON;O;38;yes;3764412;4541;932020281;2.0715942218465266
pere;NOUN;O;2;no;319145;4541;932020281;1.2853882010671258
malehuvi;NOUN;O;1;no;19;4541;932020281;216.79624179482693
juba;ADV;O;15;yes;1852141;4541;932020281;1.6618967651209506
enne;ADP;O;4;yes;841805;4541;932020281;0.9752917108694051
?;PUNCT;O;21;no;1;4541;932020281;4620.574451372151
ei;AUX;O;78;yes;10371475;4541;932020281;1.5435268771069852
isegi;ADV;O;7;yes;696839;4541;932020281;2.060348160167592
natukene;ADV;O;5;no;66090;4541;932020281;15.325709796970859
üllatav;ADJ;O;1;no;24690;4541;932020281;8.046891717760102
sest;SCONJ;O;19;yes;1381737;4541;932020281;2.821064485256946
kilingi-nõmme;PROPN;O;3;no;4182;4541;932020281;120.58396211361853
poiss;NOUN;O;5;no;218655;4541;932020281;4.6776901090003875
seal;ADV;O;20;yes;913842;4541;932020281;4.488369782549108
alates;ADP;O;1;yes;309658;4541;932020281;0.6638256522373941
ütlema;VERB;O;13;no;1762423;4541;932020281;1.513662774777846
50.-te;ADJ;O;1;no;1;4541;932020281;220.97871502908976
aasta;NOUN;O;19;no;4056916;4541;932020281;0.9612480429243957
algus;NOUN;O;4;no;555196;4541;932020281;1.477923068698363
male;NOUN;O;21;no;7926;4541;932020281;486.68771759844947
tegema;VERB;O;39;yes;3824221;4541;932020281;2.092860200819066
järjepidevalt;ADV;O;1;no;11746;4541;932020281;16.262603957216392
sattuma;VERB;O;2;no;202984;4541;932020281;2.0176110966415086
ise;ADV;O;2;yes;3519608;4541;932020281;0.11686366947451483
täiesti;ADV;O;5;yes;326178;4541;932020281;3.1401056805014154
juhuslikult;ADV;O;2;no;25847;4541;932020281;15.363639930988427
suguvõsa;NOUN;O;1;no;14460;4541;932020281;13.395098176031325
