word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
siin;ADV;O;2;yes;1;454;932046280;4401.563870099431
ola;NOUN;O;1;no;1547;454;932046280;828.503056719594
maod;NOUN;O;1;no;1538;454;932046280;831.5218372059567
taksos;NOUN;O;1;no;900;454;932046280;1121.0947251449013
vaevalt;ADV;O;1;no;43444;454;932046280;46.28392100931753
paarikümne;NUM;O;1;no;8650;454;932046280;214.34851812564395
meetrise;ADJ;O;1;no;2144;454;932046280;667.7069308363394
nähtavusega;NOUN;O;1;no;996;454;932046280;1065.273921085203
lumetuisus;NOUN;O;1;no;82;454;932046280;2025.447419154616
saabusid;VERB;O;1;no;9298;454;932046280;200.77107810790267
vanemuise;PROPN;O;2;no;15255;454;932046280;253.71292106904866
teatritrupp;NOUN;O;1;no;273;454;932046280;1704.413726524544
eile;ADV;O;2;no;1;454;932046280;4401.563870099431
lõuna;NOUN;O;1;no;37792;454;932046280;53.03932873848789
paiku;ADP;O;1;yes;46086;454;932046280;43.68317238232424
ostravast;PROPN;O;1;no;15;454;932046280;2168.7402866197194
siia;ADV;O;2;yes;1;454;932046280;4401.563870099431
moraavia;ADJ;O;1;no;86;454;932046280;2017.4892449185502
kunagisse;ADJ;O;1;no;472;454;932046280;1462.8416812082141
pealinna;NOUN;O;1;no;27298;454;932046280;72.75572276282287
lõpetama;VERB;O;1;no;10733;454;932046280;176.07280515044292
oma;PRON;O;2;yes;1;454;932046280;4401.563870099431
seekordset;ADJ;O;1;no;665;454;932046280;1286.060051264976
külalisesinemisi;NOUN;O;1;no;19;454;932046280;2159.618794502134
,;PUNCT;O;32;no;1;454;932046280;70410.03799796388
tšehhoslovakkia;PROPN;O;2;no;1747;454;932046280;1532.9570175169492
üleeelne;ADJ;O;1;no;1;454;932046280;2201.2813991706166
laudalüürika;NOUN;O;1;no;17;454;932046280;2164.1699293414217
läks;VERB;O;1;yes;323528;454;932046280;6.330201343054986
poola;PROPN;O;1;no;67404;454;932046280;30.055842158524992
piirile;NOUN;O;1;no;6756;454;932046280;267.1546639973321
sealses;ADJ;O;1;no;4022;454;932046280;414.58987353855304
keski;NOUN;O;1;no;2033;454;932046280;692.7033262797297
esseni;PROPN;O;1;no;323;454;932046280;1636.5113011843189
linnas;NOUN;O;1;no;1;454;932046280;2201.2813991706166
.;PUNCT;O;21;no;1;454;932046280;46206.930817746914
trupi;NOUN;O;1;no;1911;454;932046280;722.4284160190805
hinnangut;NOUN;O;1;no;9006;454;932046280;206.67014047446548
mööda;ADP;O;1;yes;1;454;932046280;2201.2813991706166
paremini;ADV;O;1;no;1;454;932046280;2201.2813991706166
kui;SCONJ;O;4;yes;1;454;932046280;8802.128811957062
kaks;NUM;O;1;no;2;454;932046280;2198.9246836134707
päeva;NOUN;O;1;no;459365;454;932046280;4.462112971022515
varem;ADV;O;1;no;1;454;932046280;2201.2813991706166
astrahani;PROPN;O;1;no;213;454;932046280;1793.7243730701775
etenduse;NOUN;O;1;no;13238;454;932046280;144.94641585103835
järgsed;ADJ;O;1;no;704;454;932046280;1255.4030077494745
publiku;NOUN;O;1;no;25672;454;932046280;77.20244503834697
küsitlemisel;NOUN;O;1;no;211;454;932046280;1796.862871317283
kinnitasid;VERB;O;1;no;9709;454;932046280;193.01649167616804
eesti;PROPN;O;2;no;1;454;932046280;4401.563870099431
inimeste;NOUN;O;2;no;299627;454;932046280;13.664079807309262
probleemid;NOUN;O;2;no;59404;454;932046280;68.06648841589754
on;AUX;O;15;yes;1;454;932046280;33005.23599217403
ka;ADV;O;8;yes;3;454;932046280;17565.60653005829
siinse;ADJ;O;2;no;10400;454;932046280;362.4114033514764
maa;NOUN;O;1;no;1;454;932046280;2201.2813991706166
et;SCONJ;O;13;yes;1;454;932046280;28604.671050316396
nende;PRON;O;1;yes;2;454;932046280;2198.9246836134707
hulgas;ADP;O;1;yes;147385;454;932046280;13.848019983164264
veerasid;ADJ;O;1;no;1;454;932046280;2201.2813991706166
tornitaate;NOUN;O;1;no;1;454;932046280;2201.2813991706166
anthony;PROPN;O;1;no;6868;454;932046280;263.318619787643
moodi;ADP;O;1;no;59137;454;932046280;34.19227618756425
mees;NOUN;O;1;no;1;454;932046280;2201.2813991706166
ja;CCONJ;O;6;yes;1;454;932046280;13202.693753814692
nii;ADV;O;4;yes;1;454;932046280;8802.128811957062
edasi;ADV;O;1;yes;1;454;932046280;2201.2813991706166
kuigi;SCONJ;O;1;yes;1;454;932046280;2201.2813991706166
jah;ADV;O;1;yes;7;454;932046280;2187.216396543671
arvasid;VERB;O;1;no;11346;454;932046280;167.28210448880463
praeguseks;ADJ;O;1;yes;45396;454;932046280;44.33378019690018
ajaks;NOUN;O;1;no;120600;454;932046280;16.90004804162785
neid;DET;O;1;yes;1;454;932046280;2201.2813991706166
probleeme;NOUN;O;1;no;112967;454;932046280;18.032612983257184
vähem;ADV;O;1;no;1;454;932046280;2201.2813991706166
järele;ADV;O;1;yes;147900;454;932046280;13.800102008040058
jäänud;VERB;O;1;no;263278;454;932046280;7.773729461266188
10;NUM;O;2;no;1;454;932046280;4401.563870099431
viis;NUM;O;1;no;278892;454;932046280;7.339960407384539
aastat;NOUN;O;2;no;582852;454;932046280;7.03490069889458
tagasi;ADP;O;2;yes;2;454;932046280;4396.851508448466
aga;CCONJ;O;4;yes;3;454;932046280;8783.301660830473
näitlejad;NOUN;O;2;no;15431;454;932046280;250.98399924458798
jäid;VERB;O;1;no;78288;454;932046280;25.926485999136162
tõesti;ADV;O;2;yes;1;454;932046280;4401.563870099431
väga;ADV;O;2;yes;1;454;932046280;4401.563870099431
rahule;ADV;O;2;no;39375;454;932046280;101.88945046108394
jäi;VERB;O;1;no;336219;454;932046280;6.091920649190574
kaarel;PROPN;O;1;no;15901;454;932046280;122.0157888575198
ird;PROPN;O;1;no;758;454;932046280;1215.2906373246412
täna;ADV;O;2;no;614950;454;932046280;6.668261917983504
õhtul;NOUN;O;1;no;207977;454;932046280;9.831538927120025
taas;ADV;O;1;no;1;454;932046280;2201.2813991706166
korki;NOUN;O;1;no;1212;454;932046280;957.953865030068
barbarite;NOUN;O;1;no;432;454;932046280;1505.7388087516642
kord;NOUN;O;2;no;1;454;932046280;4401.563870099431
mida;PRON;O;1;yes;1;454;932046280;2201.2813991706166
edendatakse;VERB;O;1;no;1769;454;932046280;760.408081837583
juba;ADV;O;1;yes;1;454;932046280;2201.2813991706166
sõprusteatri;NOUN;O;1;no;1;454;932046280;2201.2813991706166
orsis;PROPN;O;1;no;1;454;932046280;2201.2813991706166
stegore;PROPN;O;1;no;1;454;932046280;2201.2813991706166
nimelises;ADJ;O;1;no;3345;454;932046280;480.213980927356
riiklikus;ADJ;O;1;no;6578;454;932046280;273.4866529649853
teatris;NOUN;O;1;no;21295;454;932046280;92.40532434475766
igale;DET;O;1;yes;78871;454;932046280;25.737080430776494
etendusele;NOUN;O;1;no;2566;454;932046280;587.1555880985483
eelnenud;VERB;O;1;no;9263;454;932046280;201.46033321678445
