Diversity Number,Model name,F1 score
0,EstBERT,0.029337489041023953
0,est-roberta,0.02743570466359827
0,LaBSE,0.058761592431209035
0,bertMulti,0.00430465367965368
0,distilbertMulti,0.016698098856805302
0,MiniLM_multi,0.04482675002237619
0,MiniLM-L12_multi,0.048006932525002724
0,multi_e5,0.04427346767280544
0,xml_roberta,0.02326708156601518
1,EstBERT,0.029337489041023953
1,est-roberta,0.02743570466359827
1,LaBSE,0.058761592431209035
1,bertMulti,0.00430465367965368
1,distilbertMulti,0.016698098856805302
1,MiniLM_multi,0.04482675002237619
1,MiniLM-L12_multi,0.048006932525002724
1,multi_e5,0.04427346767280544
1,xml_roberta,0.02355920659498232
2,EstBERT,0.029337489041023953
2,est-roberta,0.02743570466359827
2,LaBSE,0.05915841782803444
2,bertMulti,0.00430465367965368
2,distilbertMulti,0.016698098856805302
2,MiniLM_multi,0.04482675002237619
2,MiniLM-L12_multi,0.048006932525002724
2,multi_e5,0.04427346767280544
2,xml_roberta,0.023752366261826197
3,EstBERT,0.029337489041023953
3,est-roberta,0.027038879266772866
3,LaBSE,0.05750155950840023
3,bertMulti,0.00430465367965368
3,distilbertMulti,0.016698098856805302
3,MiniLM_multi,0.04482675002237619
3,MiniLM-L12_multi,0.048006932525002724
3,multi_e5,0.04427346767280544
3,xml_roberta,0.022100217241256125
4,EstBERT,0.029337489041023953
4,est-roberta,0.027805328319512244
4,LaBSE,0.061580785481452585
4,bertMulti,0.00430465367965368
4,distilbertMulti,0.016698098856805302
4,MiniLM_multi,0.04532023801586418
4,MiniLM-L12_multi,0.04769829054969408
4,multi_e5,0.04341876681810458
4,xml_roberta,0.021752995019033904
5,EstBERT,0.029702112284957543
5,est-roberta,0.02692069792113468
5,LaBSE,0.061420281998965404
5,bertMulti,0.00344486531986532
5,distilbertMulti,0.016698098856805302
5,MiniLM_multi,0.04138088545809057
5,MiniLM-L12_multi,0.0398419805274914
5,multi_e5,0.03892489797052058
5,xml_roberta,0.022100217241256125
6,EstBERT,0.027295238675018797
6,est-roberta,0.027755718707324926
6,LaBSE,0.06098362320968784
6,bertMulti,0.00453498377840483
6,distilbertMulti,0.01703479919350564
6,MiniLM_multi,0.03927073798029604
6,MiniLM-L12_multi,0.036109384505808695
6,multi_e5,0.03271656983494788
6,xml_roberta,0.022100217241256125
7,EstBERT,0.02415402800372101
7,est-roberta,0.02363820703546543
7,LaBSE,0.06084712353805739
7,bertMulti,0.008349774652019233
7,distilbertMulti,0.01703479919350564
7,MiniLM_multi,0.03872200790274581
7,MiniLM-L12_multi,0.0335030174418823
7,multi_e5,0.0357289637877443
7,xml_roberta,0.021515421919618697
8,EstBERT,0.021039394412390285
8,est-roberta,0.022679520655433452
8,LaBSE,0.05770537794283232
8,bertMulti,0.011636151038885816
8,distilbertMulti,0.01703479919350564
8,MiniLM_multi,0.03983709594507843
8,MiniLM-L12_multi,0.032361569140346276
8,multi_e5,0.03537681593559645
8,xml_roberta,0.02197838488258166
9,EstBERT,0.021751695333189106
9,est-roberta,0.023233820135439853
9,LaBSE,0.0580031732512329
9,bertMulti,0.013609071606029012
9,distilbertMulti,0.018340936248434962
9,MiniLM_multi,0.041338774943221086
9,MiniLM-L12_multi,0.027930536636558367
9,multi_e5,0.03304541113954776
9,xml_roberta,0.023118735759774637
10,EstBERT,0.02012333507435461
10,est-roberta,0.02093117322363906
10,LaBSE,0.055837328314977314
10,bertMulti,0.013989262736994131
10,distilbertMulti,0.018412505402129718
10,MiniLM_multi,0.03930669890379211
10,MiniLM-L12_multi,0.027700938225630405
10,multi_e5,0.03335248118603989
10,xml_roberta,0.022582017361214134
