Diversity,Model,Score
diversity_10,LaBSE,0.07117776771350043
diversity_5,LaBSE,0.06836874996253221
diversity_9,LaBSE,0.06798643710472917
diversity_0,LaBSE,0.06687897998592013
diversity_2,LaBSE,0.06687897998592013
diversity_1,LaBSE,0.06687897998592013
diversity_4,LaBSE,0.06678126394780161
diversity_6,LaBSE,0.06659489654652193
diversity_8,LaBSE,0.06655290207728289
diversity_3,LaBSE,0.06543756419401414
diversity_7,LaBSE,0.06372524362462444
diversity_5,MiniLM-L12_multi,0.04920726728647265
diversity_8,MiniLM-L12_multi,0.047751325567373035
diversity_1,MiniLM_multi,0.047221082509395204
diversity_4,MiniLM_multi,0.047221082509395204
diversity_3,MiniLM_multi,0.047221082509395204
diversity_2,MiniLM_multi,0.047221082509395204
diversity_4,MiniLM-L12_multi,0.04720798002402749
diversity_1,MiniLM-L12_multi,0.04691558236320878
diversity_2,MiniLM-L12_multi,0.04691558236320878
diversity_3,MiniLM-L12_multi,0.04691558236320878
diversity_0,MiniLM_multi,0.04666552695383965
diversity_7,MiniLM-L12_multi,0.04647768692531334
diversity_0,MiniLM-L12_multi,0.046452619400245816
diversity_6,MiniLM-L12_multi,0.04628554712210543
diversity_9,MiniLM-L12_multi,0.04548469900508084
diversity_10,MiniLM-L12_multi,0.04544591834130018
diversity_5,MiniLM_multi,0.04161099588215172
diversity_8,MiniLM_multi,0.03959599699215282
diversity_6,MiniLM_multi,0.03872909894065725
diversity_7,MiniLM_multi,0.038676273440850326
diversity_9,MiniLM_multi,0.037283198922775804
diversity_10,MiniLM_multi,0.03407537563819814
diversity_6,est-roberta,0.026397821376536547
diversity_7,est-roberta,0.025406682312642065
diversity_8,est-roberta,0.024616967641348447
diversity_5,est-roberta,0.024572633249103838
diversity_1,est-roberta,0.02455220841250253
diversity_0,est-roberta,0.02455220841250253
diversity_2,est-roberta,0.02455220841250253
diversity_3,est-roberta,0.02455220841250253
diversity_4,est-roberta,0.02382858563005622
diversity_9,est-roberta,0.0235585870241443
diversity_10,est-roberta,0.022652729322620965
diversity_5,EstBERT,0.02162064185670997
diversity_4,EstBERT,0.02127341963448775
diversity_1,EstBERT,0.02127341963448775
diversity_0,EstBERT,0.02127341963448775
diversity_3,EstBERT,0.02127341963448775
diversity_2,EstBERT,0.02127341963448775
diversity_6,EstBERT,0.021247548174792758
diversity_8,EstBERT,0.019227674773340406
diversity_8,multi_e5,0.019110282419105947
diversity_9,multi_e5,0.019030154213977746
diversity_10,multi_e5,0.018759892068715596
diversity_2,multi_e5,0.018670467604291134
diversity_5,multi_e5,0.01851263932146285
diversity_4,multi_e5,0.01851263932146285
diversity_3,multi_e5,0.01851263932146285
diversity_1,multi_e5,0.01824311717694071
diversity_7,multi_e5,0.01814226895109248
diversity_0,multi_e5,0.01814226895109248
diversity_6,multi_e5,0.018085288894112424
diversity_7,EstBERT,0.017756815624462685
diversity_10,EstBERT,0.015353678399344033
diversity_9,EstBERT,0.014394488380556493
diversity_9,bertMulti,0.011166078718323301
diversity_8,bertMulti,0.01034703120809932
diversity_10,distilbertMulti,0.008396829205652736
diversity_8,distilbertMulti,0.008000003808827339
diversity_9,distilbertMulti,0.008000003808827339
diversity_5,distilbertMulti,0.008000003808827339
diversity_3,distilbertMulti,0.008000003808827339
diversity_2,distilbertMulti,0.008000003808827339
diversity_6,distilbertMulti,0.008000003808827339
diversity_1,distilbertMulti,0.008000003808827339
diversity_0,distilbertMulti,0.008000003808827339
diversity_7,distilbertMulti,0.008000003808827339
diversity_4,distilbertMulti,0.008000003808827339
diversity_10,bertMulti,0.007972831333899446
diversity_7,bertMulti,0.0062357775380221196
diversity_4,bertMulti,0.004755152255152255
diversity_3,bertMulti,0.004755152255152255
diversity_1,bertMulti,0.004755152255152255
diversity_2,bertMulti,0.004755152255152255
diversity_0,bertMulti,0.004755152255152255
diversity_6,bertMulti,0.004728697228697228
diversity_5,bertMulti,0.0038953638953638956
diversity_0,xml_roberta,0.0
diversity_1,xml_roberta,0.0
diversity_7,xml_roberta,0.0
diversity_9,xml_roberta,0.0
diversity_2,xml_roberta,0.0
diversity_3,xml_roberta,0.0
diversity_4,xml_roberta,0.0
diversity_8,xml_roberta,0.0
diversity_5,xml_roberta,0.0
diversity_6,xml_roberta,0.0
diversity_10,xml_roberta,0.0
