Diversity,Model,Score
diversity_2,LaBSE,0.5214786586058515
diversity_6,multi_e5,0.520601665395912
diversity_3,LaBSE,0.5188838471326862
diversity_1,LaBSE,0.5136586488798821
diversity_4,MiniLM-L12_multi,0.5132386128090463
diversity_5,multi_e5,0.5086096524686566
diversity_7,multi_e5,0.50845441394977
diversity_5,MiniLM-L12_multi,0.5067824090063512
diversity_5,LaBSE,0.5066005099847979
diversity_4,LaBSE,0.5057527817899335
diversity_3,MiniLM-L12_multi,0.5045108945682991
diversity_0,LaBSE,0.5002493518979587
diversity_6,LaBSE,0.4975763461302677
diversity_4,multi_e5,0.49600188592319655
diversity_8,multi_e5,0.49398361389976453
diversity_2,MiniLM-L12_multi,0.48862115126111516
diversity_4,MiniLM_multi,0.4869093177252362
diversity_3,multi_e5,0.4856576272359296
diversity_7,LaBSE,0.4828928063203089
diversity_9,LaBSE,0.48098331025317614
diversity_9,multi_e5,0.4781098285768048
diversity_8,LaBSE,0.4776806638255297
diversity_1,MiniLM-L12_multi,0.47712838682072434
diversity_5,MiniLM_multi,0.47707283557515756
diversity_6,MiniLM_multi,0.47330710010663574
diversity_10,LaBSE,0.4731949887058246
diversity_3,MiniLM_multi,0.47147172482182803
diversity_10,multi_e5,0.4713051494333744
diversity_7,MiniLM-L12_multi,0.46621439233281337
diversity_0,MiniLM-L12_multi,0.4660156821353932
diversity_7,MiniLM_multi,0.46588552350355755
diversity_6,MiniLM-L12_multi,0.46264575597070434
diversity_2,multi_e5,0.4624870662867309
diversity_0,EstBERT,0.45917944518692716
diversity_8,MiniLM-L12_multi,0.45628651644002516
diversity_9,bertMulti,0.45503477070363035
diversity_10,distilbertMulti,0.454469400974174
diversity_1,EstBERT,0.4544446281081988
diversity_2,MiniLM_multi,0.45251569981446144
diversity_8,bertMulti,0.45219306457503056
diversity_9,distilbertMulti,0.4513358136436052
diversity_10,bertMulti,0.45066889950339384
diversity_9,MiniLM-L12_multi,0.4504151565000378
diversity_1,multi_e5,0.44802457630566506
diversity_8,MiniLM_multi,0.44757919568678084
diversity_9,MiniLM_multi,0.4473193230010825
diversity_10,MiniLM-L12_multi,0.4469881820010819
diversity_2,EstBERT,0.44578137835103776
diversity_10,MiniLM_multi,0.4418696300784794
diversity_3,EstBERT,0.4393111775851714
diversity_7,bertMulti,0.4380404136292939
diversity_1,MiniLM_multi,0.437404894464363
diversity_8,distilbertMulti,0.4329068215162126
diversity_0,multi_e5,0.4316260925845549
diversity_9,xml_roberta,0.4286220049300544
diversity_0,MiniLM_multi,0.42725892308967645
diversity_4,EstBERT,0.42665964883070145
diversity_7,xml_roberta,0.4266242919113147
diversity_8,xml_roberta,0.4249359678371546
diversity_10,xml_roberta,0.4248009067004165
diversity_5,xml_roberta,0.42333990914486275
diversity_6,bertMulti,0.42242121543269634
diversity_6,xml_roberta,0.4222316687106418
diversity_4,xml_roberta,0.4213796195252594
diversity_3,xml_roberta,0.4195633627638271
diversity_2,xml_roberta,0.41828524273570716
diversity_1,xml_roberta,0.41667863776803404
diversity_0,xml_roberta,0.4146255617018001
diversity_0,est-roberta,0.41019018699165755
diversity_3,est-roberta,0.40897382189629355
diversity_1,est-roberta,0.40866151220640384
diversity_2,est-roberta,0.4081103043938441
diversity_4,est-roberta,0.40507332457990347
diversity_7,distilbertMulti,0.40446344493235614
diversity_5,est-roberta,0.40147074173389957
diversity_5,EstBERT,0.40088425546952383
diversity_6,est-roberta,0.3845726287386504
diversity_6,EstBERT,0.3827642714278421
diversity_6,distilbertMulti,0.37863602926618917
diversity_5,bertMulti,0.3783892304280591
diversity_7,est-roberta,0.37530556579834184
diversity_8,est-roberta,0.37213985645035697
diversity_7,EstBERT,0.36824247743236393
diversity_4,bertMulti,0.365098632829541
diversity_9,est-roberta,0.3639243429858755
diversity_8,EstBERT,0.3594848151027202
diversity_5,distilbertMulti,0.3577831896298099
diversity_3,bertMulti,0.35594777222357205
diversity_10,est-roberta,0.3532474870426367
diversity_2,bertMulti,0.35255197049443693
diversity_0,bertMulti,0.35141010310256954
diversity_1,bertMulti,0.3509414051338716
diversity_9,EstBERT,0.3435155329324576
diversity_10,EstBERT,0.33982230064015406
diversity_4,distilbertMulti,0.33281894275315327
diversity_3,distilbertMulti,0.31804003396366654
diversity_2,distilbertMulti,0.30644977953285485
diversity_1,distilbertMulti,0.30068408235784394
diversity_0,distilbertMulti,0.2951498352581944
