Diversity,Model,Score
diversity_1,LaBSE,0.5008163003099794
diversity_0,LaBSE,0.5007991849529517
diversity_3,MiniLM-L12_multi,0.49338529256356917
diversity_2,LaBSE,0.4922485677806885
diversity_2,MiniLM-L12_multi,0.4889962856964921
diversity_4,MiniLM-L12_multi,0.48223405872115876
diversity_1,MiniLM-L12_multi,0.4728999388983909
diversity_0,MiniLM-L12_multi,0.4707042104829772
diversity_3,LaBSE,0.4689774711060831
diversity_5,MiniLM-L12_multi,0.46465467773826913
diversity_4,MiniLM_multi,0.4607671231226443
diversity_3,MiniLM_multi,0.45760075360178565
diversity_0,EstBERT,0.45306884496938676
diversity_2,MiniLM_multi,0.45027495521239075
diversity_1,EstBERT,0.4460227043815795
diversity_1,MiniLM_multi,0.4447818760043992
diversity_4,LaBSE,0.44191555211691946
diversity_5,MiniLM_multi,0.43950973269936117
diversity_2,EstBERT,0.4392971536976955
diversity_3,EstBERT,0.43801551379763454
diversity_0,MiniLM_multi,0.4372137034362267
diversity_4,EstBERT,0.4276468929820323
diversity_6,MiniLM_multi,0.4208981958396303
diversity_8,bertMulti,0.4190579035114639
diversity_6,MiniLM-L12_multi,0.4180007337386078
diversity_5,LaBSE,0.41793847655135064
diversity_5,multi_e5,0.41770135134234726
diversity_6,multi_e5,0.41754103871609033
diversity_3,multi_e5,0.41749948775090673
diversity_4,multi_e5,0.4147188655952846
diversity_7,MiniLM-L12_multi,0.41459483595371105
diversity_7,multi_e5,0.4145467950665319
diversity_2,multi_e5,0.41421532413998874
diversity_7,bertMulti,0.41247010541631285
diversity_1,multi_e5,0.4124289294058386
diversity_8,multi_e5,0.40886420556376696
diversity_6,bertMulti,0.4071425476541576
diversity_10,bertMulti,0.4070962679248283
diversity_0,est-roberta,0.40685662856999283
diversity_0,multi_e5,0.40614193934433873
diversity_1,est-roberta,0.40512529402906083
diversity_9,bertMulti,0.40500854237876943
diversity_2,est-roberta,0.40340926111785247
diversity_9,multi_e5,0.4016292249822952
diversity_8,MiniLM-L12_multi,0.40065379599951323
diversity_3,est-roberta,0.4006379512109646
diversity_5,EstBERT,0.40017832199811043
diversity_6,LaBSE,0.3996786487410843
diversity_10,multi_e5,0.3988574283044097
diversity_9,MiniLM-L12_multi,0.3985264372471545
diversity_9,xml_roberta,0.39742060651671074
diversity_10,xml_roberta,0.39607171052965684
diversity_7,MiniLM_multi,0.39442946144842433
diversity_10,distilbertMulti,0.3930614361988201
diversity_9,distilbertMulti,0.3911508537710808
diversity_10,MiniLM-L12_multi,0.39032041260730627
diversity_8,xml_roberta,0.39001177664116266
diversity_4,est-roberta,0.38829207438301866
diversity_8,MiniLM_multi,0.3875291354099404
diversity_8,distilbertMulti,0.3874164336265729
diversity_6,xml_roberta,0.3873253935797795
diversity_7,xml_roberta,0.3855166097709958
diversity_7,LaBSE,0.38539498999548016
diversity_5,xml_roberta,0.3825897588441448
diversity_5,est-roberta,0.38244245259480036
diversity_9,MiniLM_multi,0.38201218476798976
diversity_7,distilbertMulti,0.3792754961040565
diversity_4,xml_roberta,0.37891931176361004
diversity_8,LaBSE,0.37833634087981355
diversity_10,MiniLM_multi,0.3776364460654966
diversity_6,distilbertMulti,0.3770310706856114
diversity_10,LaBSE,0.37566698635996887
diversity_9,LaBSE,0.3755211697009943
diversity_3,xml_roberta,0.37331670165442093
diversity_2,xml_roberta,0.3722476780853974
diversity_1,xml_roberta,0.36992175781830067
diversity_5,bertMulti,0.3670979275712248
diversity_0,xml_roberta,0.3663989794271012
diversity_6,EstBERT,0.36628702819272996
diversity_6,est-roberta,0.3652944087980208
diversity_5,distilbertMulti,0.36333808904087544
diversity_4,bertMulti,0.35895743891280524
diversity_4,distilbertMulti,0.35865409873446513
diversity_1,bertMulti,0.3574601021852054
diversity_2,bertMulti,0.356809865076635
diversity_0,bertMulti,0.35452260758104415
diversity_7,est-roberta,0.3544555329240572
diversity_3,bertMulti,0.353483261125031
diversity_3,distilbertMulti,0.3522108010477464
diversity_7,EstBERT,0.35195405301326355
diversity_2,distilbertMulti,0.34760088935450134
diversity_8,est-roberta,0.3466154638036733
diversity_1,distilbertMulti,0.342872354000966
diversity_0,distilbertMulti,0.3397535386917482
diversity_8,EstBERT,0.3397204353476283
diversity_9,est-roberta,0.3382760321129774
diversity_10,est-roberta,0.32792831347359214
diversity_9,EstBERT,0.32594561603114236
diversity_10,EstBERT,0.3226200968412011
