EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
1,2,2,1,0,2,2,2,2,11,meeleliigutus; austraalia; eesti; puhkama; väliseestlane
0,2,2,1,0,2,3,2,2,11,kanakasvataja; austraalia; eesti; puhkama; väliseestlane
0,2,2,2,0,2,3,2,2,11,kanakasvataja; austraalia; eesti; puhkama; väliseestlane
0,1,2,1,0,3,3,2,2,11,kanakasvataja; austraalia; eesti; puhkama; väliseestlane
0,1,2,2,0,1,2,2,2,11,kanakasvataja; austraalia; eesti; puhkama; väliseestlane
