EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
2,0,3,0,1,1,3,2,0,10,koer; säuts; eesmärk; ajutine; määrus; õpilane; öeldistäis; lausemall
