EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
2,1,0,0,0,3,2,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
