EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,4,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
3,2,2,3,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
5,2,2,2,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
4,2,2,1,2,3,2,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
4,2,1,1,2,3,3,4,0,14,dvd-plaadil; kommentaar; cbs; uudised; meediatarbimise; katsepolügoon; internet; reklaamitulu
