EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
0,0,3,0,1,3,3,5,0,12,nurk; raamat; vangla; kirjade; võitlus; martin
