EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,0,1,2,2,2,1,13,följeton; tants; eesti
1,0,1,0,1,2,2,2,1,13,följeton; tants; eesti
1,0,1,0,1,2,2,2,1,13,följeton; tants; eesti
1,0,1,0,1,2,2,2,1,13,följeton; tants; eesti
1,0,1,0,1,2,2,2,1,13,följeton; tants; eesti
1,0,2,0,1,2,2,2,0,13,följeton; tants; eesti
1,0,2,1,1,2,2,2,0,13,följeton; tants; eesti
1,0,1,2,1,2,2,2,0,13,följeton; tants; eesti
2,0,0,0,1,2,2,2,0,13,följeton; tants; eesti
2,0,1,0,1,1,2,1,0,13,följeton; tants; eesti
2,1,1,0,1,1,2,1,0,13,följeton; tants; eesti
