EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
1,0,1,0,1,5,2,3,2,10,aamen; kirik; peegel; mõtisklus; jumal
