EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
1,3,2,2,1,3,6,4,0,13,muusikamaitse; eesti; andres; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; rada; klassikaraadio; olümpiamängud
