EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
1,4,1,0,1,3,0,2,3,13,väärtus; jumalik; seadus; liit; kristlik; euroopa
