EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,2,2,0,2,2,2,1,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
3,0,2,2,0,2,2,2,0,14,meediatarbimine; dvd-plaat; telejaam; kommentaar; katsepolügoon; uudis; internet
