EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
3,6,6,5,0,7,6,6,1,16,materjal; aivar; keraamika; muistis; riigiküla; kaevamine; arheoloogiline; kiviaeg; päästekaevamine; kultuur
