EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,2,3,1,3,4,3,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
4,4,2,2,3,1,3,4,4,12,nurk; vangla; raamat; võitlus; ämber; kavalus; martin; saun; põrand
