EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
1,5,2,2,1,5,2,3,4,13,seadusriik; jumalik; demokraatia; bürokraatia; seadus; väärtus; euroopa; kristlik; liit
