EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
4,4,4,4,4,4,4,4,4,12,nõukogude; koostöö; energia; brigaad
