EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,6,10,10,8,8,9,8,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,8,10,10,8,8,9,8,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,8,10,10,8,9,9,9,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,10,8,9,9,9,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,10,8,10,9,9,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,10,9,10,10,9,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,10,10,10,11,9,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
11,11,11,9,11,9,10,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
9,11,11,10,11,10,11,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
9,11,10,10,11,10,11,11,10,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
10,11,10,9,11,10,11,11,11,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
