EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,9,5,3,3,5,4,7,7,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
5,9,5,3,3,5,4,8,7,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
4,9,7,3,3,7,4,8,7,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
4,6,8,3,5,5,4,10,7,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
5,7,7,3,6,5,4,9,9,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
6,6,10,5,5,6,2,10,9,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
4,8,9,4,5,9,4,9,9,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
6,6,7,4,6,7,5,9,10,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
6,7,6,4,6,4,4,10,8,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
8,6,7,4,6,4,5,10,6,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
8,7,6,4,5,4,3,9,7,13,erik; bänd; parmupill; festival; meister; intervjuu; artist; jaan; rajasaare; eurosonic; kristo; morna
