EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,6,6,6,8,7,7,6,12,mimmi; kristus; villem; hobune; ilus; proua; eduard; mõisnik; mõisavalitseja; kubjas
6,9,6,6,6,8,7,8,6,12,mimmi; villem; kristus; hobune; ilus; proua; eduard; mõisnik; mõisavalitseja; kubjas
7,9,6,6,6,8,7,8,6,12,villem; kristus; ilus; proua; eduard; hobune; mõisavalitseja; mimmi; mõisnik; kubjas
8,9,7,6,6,8,8,6,6,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
9,9,5,5,6,7,8,6,6,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
9,8,8,6,6,7,5,7,6,12,mimmi; villem; kristus; mõisavalitseja; ilus; proua; eduard; mõisnik; hobune; kubjas
6,7,8,8,7,8,6,6,6,12,kristus; villem; hobune; ilus; kubjas; proua; mõisnik; eduard; mõisavalitseja; mimmi
6,6,8,8,8,8,5,7,4,12,villem; kristus; mõisavalitseja; ilus; kubjas; proua; mõisnik; eduard; hobune; mimmi
6,8,7,8,8,7,5,7,8,12,villem; kristus; mõisavalitseja; kubjas; ilus; proua; mõisnik; eduard; hobune; mimmi
6,6,6,7,8,7,4,8,9,12,kristus; villem; ilus; proua; eduard; hobune; mõisavalitseja; mimmi; mõisnik; kubjas
5,6,8,7,7,8,4,6,8,12,villem; kristus; hobune; kubjas; ilus; proua; eduard; mõisnik; mõisavalitseja; mimmi
