EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,6,7,6,5,5,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,4,6,7,6,5,5,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,4,6,7,6,4,5,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,5,7,7,6,5,5,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,5,7,7,6,5,5,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,5,7,7,7,5,6,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,5,7,7,7,6,6,7,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,6,7,7,7,6,7,6,6,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,6,7,7,7,7,6,7,7,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,5,7,7,7,6,7,7,7,12,andmed; portaal; port; seadus; kristjan; euroopa; regulatsioon
7,6,7,7,7,6,7,7,7,12,andmed; portaal; port; kristjan; seadus; euroopa; regulatsioon
