EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,2,3,0,3,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,2,3,0,2,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,2,3,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,3,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,3,1,1,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,3,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
2,3,3,3,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,3,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
2,3,3,2,1,3,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,2,1,2,3,3,2,11,sport; rahvatantsupidu; kihnu
3,3,3,2,3,2,3,3,2,11,sport; rahvatantsupidu; kihnu
