EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,3,5,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,7,3,5,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,8,4,5,1,3,3,4,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,8,4,5,1,4,3,3,4,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
7,7,5,5,1,4,4,5,4,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,7,4,5,3,5,7,7,3,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
5,6,6,6,4,8,7,6,4,11,kiirabi; jüri; salmre; meresaade; rannavalve; tuukrikaater; kaart; kiirkaater
5,5,6,6,4,6,8,6,3,11,kiirabi; jüri; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
4,4,6,4,6,6,7,6,3,11,kiirabi; jüri; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
4,3,6,4,4,6,5,6,4,11,kiirabi; jüri; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
4,4,7,4,6,5,5,7,5,11,jüri; kiirabi; salmre; rannavalve; meresaade; tuukrikaater; kaart; kiirkaater
