EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,4,8,3,5,5,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
9,6,4,7,3,5,5,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
8,6,4,7,3,6,5,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
8,6,5,7,3,6,5,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
8,6,5,6,3,5,6,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
9,7,7,6,4,7,7,7,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
6,6,7,5,4,7,6,6,4,12,võõrkeel; euroopa; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; keeleoskus
6,6,7,4,4,9,5,7,4,12,võõrkeel; kersti; uuring; kolmkeelsus; innove; sõstar; keelepoliitika; euroopa; keeleoskus
3,5,8,4,4,5,6,7,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; innove; sõstar; euroopa; keeleoskus
6,4,8,3,4,5,4,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
3,4,8,3,4,5,6,6,4,12,võõrkeel; kersti; uuring; kolmkeelsus; keelepoliitika; sõstar; innove; euroopa; keeleoskus
