EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,6,8,5,2,5,5,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
3,6,8,5,2,5,5,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
4,6,8,5,3,5,5,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; mari; tarand; sõna
8,6,8,5,4,5,5,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
8,6,8,5,5,6,5,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
9,5,8,5,6,6,6,9,9,12,aabits; raha; kadakas; esimene; lugu; tahvel; tarand; mari; sõna
5,4,7,8,6,6,7,9,8,12,aabits; raha; kadakas; esimene; tarand; lugu; mari; tahvel; sõna
4,6,8,6,7,7,7,9,8,12,aabits; raha; kadakas; esimene; tarand; lugu; mari; tahvel; sõna
5,7,9,7,7,6,6,8,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
6,5,7,7,7,7,8,7,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
6,6,8,7,8,6,8,7,8,12,aabits; raha; kadakas; esimene; tarand; tahvel; mari; lugu; sõna
