EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,4,7,4,5,5,5,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,4,4,7,4,5,5,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,4,5,7,4,5,5,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,5,6,7,4,5,5,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,5,7,7,4,6,6,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,5,7,7,6,6,7,6,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,5,7,7,6,5,6,7,6,13,töö; hellat; isolatsioon; peeter; arstiteadus; sajandi; pidalitõbi
7,6,6,7,6,5,7,7,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,5,7,7,6,5,5,5,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,6,7,7,7,6,5,6,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
7,6,7,7,7,5,6,6,6,13,töö; isolatsioon; pidalitõbi; peeter; arstiteadus; sajandi; hellat
