EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,4,2,6,10,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
8,9,8,4,2,7,11,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
8,9,9,4,2,8,11,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
9,9,11,4,3,8,12,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
8,9,11,4,4,7,12,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
7,6,10,5,5,10,12,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
6,8,8,9,5,8,12,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
8,7,9,9,9,7,11,12,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
6,7,9,9,10,7,11,11,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
3,7,10,9,10,9,9,11,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
3,7,10,9,10,5,8,10,0,17,mäger; antoloogia; gustav; mart; karl; luuletaja; rummo; eesti; betti; muru; luulealbum; paul-eerik
