EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,3,2,4,3,5,5,14,august; friedebert; hermann; karl; johannes; küsimus; raud; armas; keel; tuglas; hellitus
6,6,7,3,2,4,6,5,5,14,august; friedebert; hermann; karl; johannes; küsimus; raud; armas; keel; tuglas; hellitus
6,6,7,3,2,4,6,5,6,14,august; friedebert; hermann; karl; johannes; küsimus; raud; armas; keel; tuglas; hellitus
6,5,7,3,5,6,6,5,7,14,august; friedebert; hermann; karl; johannes; küsimus; raud; armas; keel; tuglas; hellitus
7,5,9,3,5,8,6,9,7,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; armas
6,5,9,3,5,9,4,8,8,14,august; johannes; raud; keel; tuglas; hellitus; friedebert; hermann; karl; küsimus; armas
5,4,8,8,7,9,4,9,7,14,august; johannes; raud; keel; tuglas; hellitus; hermann; karl; friedebert; küsimus; armas
2,2,10,8,5,8,5,8,7,14,august; johannes; raud; keel; tuglas; hellitus; hermann; karl; friedebert; küsimus; armas
2,4,9,7,8,6,4,9,8,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; armas
3,2,6,7,8,7,5,9,9,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; armas
3,2,7,7,8,6,5,9,6,14,august; johannes; raud; keel; tuglas; hellitus; hermann; friedebert; karl; küsimus; armas
