EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,3,2,3,4,4,3,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,4,4,3,2,3,4,4,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,4,4,3,2,3,3,4,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,4,5,3,2,4,4,4,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
3,4,5,3,2,4,5,4,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,4,4,3,3,4,5,5,5,10,hollandlanna; pala; california; muusikasaade; elizabeth
3,4,5,4,3,4,4,5,5,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,3,5,4,3,4,4,5,3,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,3,3,4,3,4,4,5,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,3,3,5,3,3,3,5,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
4,2,3,5,3,4,3,4,4,10,hollandlanna; pala; california; muusikasaade; elizabeth
