EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,12,8,11,5,10,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
14,12,8,12,5,10,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
14,13,8,12,5,10,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
14,13,10,12,6,12,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
12,13,11,12,7,12,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
12,12,13,12,8,11,11,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
11,11,13,12,10,11,10,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
10,9,14,12,12,11,12,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
9,10,14,11,13,10,11,9,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
12,8,12,11,13,11,11,9,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
9,9,14,11,13,11,13,10,0,15,raudsepp; töö; sümfooniaorkester; puhkpillikvintett; reimann; prelüüd; loominguline; tants; kirill; eesti; fuuga; harri; klaverikontsert; matti
