EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,6,7,8,6,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
9,8,7,7,8,6,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
9,8,8,7,8,6,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
8,8,9,8,8,6,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
9,8,9,8,8,6,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
9,8,9,8,7,8,8,6,0,11,eesti; hoolitsemine; kanakasvataja; meeleliigutus; austraalia; maastik; ludwig; asundus; külaline
8,8,9,7,7,7,8,6,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
6,8,9,9,8,7,9,6,0,11,eesti; hoolitsemine; kanakasvataja; austraalia; meeleliigutus; maastik; ludwig; asundus; külaline
8,8,9,9,5,8,8,8,0,11,eesti; hoolitsemine; maastik; kanakasvataja; austraalia; meeleliigutus; ludwig; asundus; külaline
8,8,9,9,6,8,8,7,0,11,eesti; hoolitsemine; maastik; kanakasvataja; austraalia; meeleliigutus; ludwig; asundus; külaline
7,9,9,9,6,8,9,6,0,11,kanakasvataja; austraalia; ludwig; eesti; hoolitsemine; maastik; meeleliigutus; asundus; külaline
