EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,7,6,6,9,8,5,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
8,6,7,7,6,8,7,5,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
7,5,5,7,6,7,7,7,2,11,nukuteater; buratino; tolstoi; jaapan; suusk; ferdinand; hääl; kuuldemäng; aleksei; muuseum; artikulatsioon
7,5,5,7,6,7,7,8,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
7,4,6,7,7,6,8,8,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
7,3,5,7,7,6,7,9,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
5,3,8,5,6,5,6,9,2,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
5,3,7,7,6,5,4,8,4,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
5,2,7,6,5,7,5,7,4,11,nukuteater; buratino; tolstoi; jaapan; suusk; ferdinand; hääl; kuuldemäng; aleksei; muuseum; artikulatsioon
6,1,8,6,3,7,4,7,7,11,nukuteater; buratino; tolstoi; jaapan; suusk; ferdinand; hääl; kuuldemäng; aleksei; muuseum; artikulatsioon
5,2,8,5,4,6,3,7,8,11,nukuteater; jaapan; hääl; muuseum; tolstoi; buratino; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
