EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,3,8,6,5,6,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,7,6,3,9,6,5,6,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,7,7,3,9,6,5,6,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
9,7,7,4,9,7,7,6,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
8,6,7,4,9,7,7,8,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
6,5,7,4,9,6,8,8,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
6,5,8,7,9,5,7,7,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
5,5,6,7,9,5,8,6,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
5,5,6,8,9,6,7,8,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
3,5,7,7,8,5,7,8,4,12,lugu; inglise; ansambel; seen; album; stuudio; eesti; šokolaad; raadio; plaat; queen
3,7,6,6,7,5,7,7,3,12,stuudio; seen; queen; eesti; šokolaad; raadio; lugu; inglise; plaat; album; ansambel
