EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,4,8,1,7,7,7,3,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,8,4,8,1,7,7,7,3,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,4,8,1,7,7,8,3,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,5,8,1,7,6,8,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
8,9,6,9,1,6,6,8,4,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
7,9,6,9,2,5,7,9,4,10,kontserdinärv; hobi; ebapopulaarne; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; muusikakeskkool
7,9,7,9,4,5,7,8,5,10,kontserdinärv; hobi; ebapopulaarne; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; muusikakeskkool
6,8,8,8,4,5,6,8,5,10,kontserdinärv; orkestriteos; hobi; trenn; pillimäng; klassikatäht; muusikakeskkool; oboemängija; ebapopulaarne
5,7,6,7,5,5,7,8,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
7,7,8,7,6,6,6,8,6,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
5,7,6,6,6,6,6,6,5,10,kontserdinärv; hobi; orkestriteos; trenn; pillimäng; klassikatäht; oboemängija; ebapopulaarne; muusikakeskkool
