EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,5,6,2,4,2,4,4,12,hiiumaa; kalju; mägi; bassein; banaan; reisipalavik; õhutramm; vanalinn; madeira; portugal; loodus
6,8,6,6,2,4,3,5,4,12,hiiumaa; kalju; mägi; bassein; banaan; reisipalavik; õhutramm; vanalinn; madeira; portugal; loodus
6,8,6,6,2,4,4,5,4,12,hiiumaa; kalju; mägi; bassein; banaan; reisipalavik; õhutramm; vanalinn; madeira; portugal; loodus
8,8,6,6,4,4,6,7,4,12,hiiumaa; kalju; mägi; bassein; banaan; reisipalavik; õhutramm; vanalinn; madeira; loodus; portugal
8,7,6,7,4,6,6,7,4,12,hiiumaa; kalju; mägi; bassein; banaan; reisipalavik; õhutramm; vanalinn; madeira; loodus; portugal
8,8,7,7,4,8,5,7,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
5,7,8,6,6,8,6,7,4,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
4,8,7,7,6,6,6,8,4,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; portugal; madeira
4,9,8,7,6,8,6,9,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
3,10,7,7,6,4,6,9,4,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
3,8,7,6,6,5,5,8,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
