EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,4,4,4,7,6,6,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
6,7,3,5,4,7,6,6,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
6,7,4,5,4,7,6,6,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
6,7,4,5,4,7,6,6,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
6,9,5,4,4,7,7,7,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
3,9,6,4,5,7,7,7,8,13,piletisoodustus; poola; rahastamine; jüri; kontroll; andrus; adams; graafika; ansip; president
5,9,8,6,5,9,9,8,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
4,9,8,9,7,9,9,8,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
5,7,7,7,8,9,8,8,8,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
6,7,8,9,7,9,9,6,7,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
5,7,6,10,8,10,9,6,5,13,poola; jüri; andrus; piletisoodustus; rahastamine; kontroll; adams; graafika; ansip; president
