EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,9,8,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,7,9,8,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,7,9,8,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,7,9,8,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,7,9,9,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,7,9,9,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,8,9,9,9,9,9,9,9,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
9,8,9,9,9,9,9,9,8,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
8,8,9,9,9,9,9,9,9,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
8,8,9,9,9,9,9,9,9,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
8,8,9,9,9,9,9,9,9,12,regulatsioon; andmed; portaal; kristjan; personaalne; port; seadus; liit; euroopa
