EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,9,9,6,10,9,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
9,10,9,9,6,10,9,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,9,9,6,10,9,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,6,10,9,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,6,10,10,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,9,8,10,10,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,10,9,10,10,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,10,10,10,10,10,9,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
10,10,10,10,10,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
9,10,10,10,10,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
9,10,10,9,10,9,10,10,10,13,merike; koolipõlv; käär; lasteraamat; hiidlane; õpetamine; aasta; hiiu; sõna; lili
