EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,6,11,9,11,9,11,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
11,11,10,12,9,11,9,11,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
11,11,10,12,9,11,9,11,8,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
11,10,10,12,9,11,9,11,10,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
11,11,10,12,9,11,9,11,10,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
10,11,11,12,10,12,11,12,10,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; poliitiline; aleksander; kunstihoone; kuraator; härm; graafikatriennaal; anders
12,11,12,12,11,11,12,12,11,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; poliitiline; aleksander; kunstihoone; kuraator; härm; graafikatriennaal; anders
11,12,12,12,11,12,11,12,11,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
11,10,11,12,12,11,11,11,10,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
9,11,11,11,12,10,9,11,11,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
9,12,12,11,12,9,10,12,12,13,graafika; galerii; tudengifilm; tartu; vabakaubandus; anders; poliitiline; aleksander; kunstihoone; härm; graafikatriennaal; kuraator
