EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,5,10,5,4,4,5,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,8,5,10,5,5,5,5,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,7,5,10,5,6,6,6,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,7,7,10,6,7,6,5,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,8,7,10,6,6,7,7,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
9,8,9,10,7,8,8,6,5,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
10,9,9,9,6,8,8,8,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
8,8,10,10,7,9,9,8,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
7,8,10,11,8,8,8,10,6,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; madeira; portugal
8,8,10,10,8,6,9,8,8,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; portugal; madeira
6,7,10,7,7,8,8,9,7,12,mägi; bassein; reisipalavik; vanalinn; loodus; hiiumaa; kalju; banaan; õhutramm; portugal; madeira
