EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,6,4,4,3,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,7,6,4,4,3,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,7,6,4,4,2,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,7,8,6,4,3,2,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,6,8,7,4,4,3,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,6,6,8,5,5,3,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
8,8,6,7,6,4,5,7,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,7,6,8,7,5,5,8,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,8,7,8,7,6,5,6,7,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
7,8,6,8,7,6,7,8,5,14,estonia; teater; eesti; vene; keel; selts; kultuur; vanemuine
8,7,5,7,8,6,5,6,5,14,selts; estonia; teater; eesti; vene; keel; kultuur; vanemuine
