EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,3,5,4,5,4,5,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
7,6,3,5,5,6,6,5,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,6,4,5,5,6,6,6,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,6,5,5,5,6,6,7,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,6,6,4,5,6,6,7,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
7,5,5,5,4,5,6,7,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,5,7,6,5,6,7,8,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,4,8,7,5,7,7,8,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,5,8,7,6,8,7,8,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,5,8,7,6,7,8,8,6,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
5,6,7,7,8,7,7,8,7,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
