EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,5,4,4,3,3,3,4,16,hans; nädal; restoran; tõnu; ukraina; üro
6,4,5,4,4,4,4,4,4,16,hans; nädal; restoran; tõnu; ukraina; üro
6,5,5,4,4,4,4,4,4,16,hans; nädal; restoran; tõnu; ukraina; üro
6,5,4,5,4,4,4,4,4,16,hans; nädal; restoran; tõnu; ukraina; üro
4,6,4,5,4,3,4,4,4,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,4,5,4,4,4,5,4,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,5,4,4,4,6,5,4,16,hans; nädal; restoran; tõnu; ukraina; üro
5,4,5,6,4,4,5,4,5,16,hans; nädal; restoran; tõnu; ukraina; üro
6,6,5,5,5,3,5,5,5,16,hans; nädal; restoran; tõnu; ukraina; üro
4,5,4,5,5,5,6,4,4,16,hans; nädal; restoran; tõnu; ukraina; üro
5,6,4,5,4,5,5,4,6,16,hans; nädal; restoran; tõnu; ukraina; üro
