EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
10,10,10,10,10,10,10,10,10,13,nurk; raamat; aasta; kiri; vangla; salaja; ämber; martin; kommunistlik; sidepidamine
