EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,5,1,8,8,7,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,7,7,5,1,8,8,7,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
8,6,8,5,1,8,8,8,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,6,10,5,2,8,8,7,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,6,11,5,2,8,9,8,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
5,6,11,6,2,9,8,8,4,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,6,11,6,4,10,9,9,4,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,6,11,8,7,8,9,10,5,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
7,6,11,8,5,6,10,11,4,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,5,11,7,8,7,7,10,7,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
6,6,10,7,9,6,7,9,7,13,jüri; piir; mesilane; kreeka; hobune; sanktsioon; sobak; eurovisioon; migrant; tööjõupuudus; kristi
