EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,9,10,7,8,7,9,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,9,11,10,7,8,7,9,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,9,10,10,7,8,8,10,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,10,10,7,8,8,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,11,11,10,10,9,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
9,9,11,11,10,9,10,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
11,10,11,9,10,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
9,10,11,10,10,11,11,11,10,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,10,10,11,10,11,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,9,11,10,10,11,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,8,11,10,10,10,11,11,11,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
