EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,7,3,6,7,7,6,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
9,7,7,7,3,6,7,6,6,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
9,7,9,7,3,6,7,6,6,10,film; loosung; toimetus; saade; režissöör; fotograaf; raadio; buss; kirjandus; televisioon
10,8,9,7,3,6,7,8,6,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
10,8,9,7,4,7,7,8,6,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
8,7,10,6,4,9,7,9,6,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
8,9,9,7,7,8,8,10,6,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
7,7,8,8,5,8,6,10,5,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
8,6,10,8,6,9,7,10,7,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
7,6,8,7,7,9,7,9,7,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
7,5,9,8,7,8,8,10,9,10,film; loosung; saade; režissöör; fotograaf; buss; kirjandus; televisioon; toimetus; raadio
