EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,8,10,8,4,5,5,8,7,17,gruusia; laidoner; eentalu; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; probleem; üürnik; sortimine
11,9,10,10,4,5,5,8,7,17,gruusia; laidoner; eentalu; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; probleem; üürnik; sortimine
12,9,10,10,4,6,6,8,6,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
11,10,10,10,4,5,5,10,5,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
10,11,12,11,4,6,6,11,5,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
8,9,15,9,3,9,7,11,5,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
6,7,13,8,5,11,12,13,5,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
10,6,14,8,5,11,12,13,5,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
7,9,14,7,6,12,10,11,6,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
7,10,13,7,8,12,9,8,7,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
6,9,12,6,9,11,10,10,8,17,gruusia; laidoner; eentalu; sortimine; konkurentsivõime; jäätmed; muuseum; keedus; venemaa; sulev; rahukõnelus; riina; veiko; sõjakuritegu; õunpuu; üürnik; probleem
