EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,9,6,9,4,7,6,8,6,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
10,10,6,9,4,7,6,8,6,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
10,10,7,9,4,7,6,8,6,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
10,10,8,9,4,8,7,8,6,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
10,10,10,10,4,10,8,10,6,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
11,10,9,11,3,11,9,10,6,12,võõrkeel; kersti; uuring; eestlane; euroopa; innove; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
8,10,12,9,3,11,8,12,7,12,võõrkeel; kersti; uuring; eestlane; innove; euroopa; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
8,9,12,5,4,12,8,9,7,12,võõrkeel; kersti; uuring; eestlane; euroopa; innove; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
6,7,12,4,7,11,8,10,7,12,võõrkeel; kersti; uuring; eestlane; euroopa; innove; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
5,9,12,4,7,9,8,11,7,12,võõrkeel; kersti; uuring; eestlane; euroopa; innove; kolmkeelsus; kool; keelepoliitika; sõstar; subtiiter; keeleoskus
7,8,11,4,8,8,8,10,7,12,võõrkeel; kersti; uuring; eestlane; euroopa; innove; kool; kolmkeelsus; keelepoliitika; sõstar; subtiiter; keeleoskus
