EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
11,11,11,11,11,11,11,11,11,15,evangeelium; patt; jumal; ori; jüri; kannatlikkus; kirik; rahu; eesti; sõna; luterlik
