EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,5,7,3,5,5,8,6,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
9,5,6,7,3,5,5,8,6,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
9,5,7,7,3,5,6,9,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
9,5,8,7,3,7,6,10,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
8,5,9,7,3,8,8,10,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
8,6,10,7,3,9,11,10,7,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
7,8,10,11,6,10,10,10,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
6,9,11,9,8,7,10,10,9,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
6,9,10,10,7,7,10,11,8,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
7,9,10,8,10,8,7,10,8,15,bashar; sildam; liikumine; töövisiit; tõnu; keemiarelvarünnak; kultuuripealinn; putin; toomas; jevgeni; vladimir
7,7,8,8,9,8,7,9,8,15,bashar; sildam; liikumine; töövisiit; tõnu; putin; kultuuripealinn; keemiarelvarünnak; toomas; jevgeni; vladimir
