EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,10,12,6,10,8,10,6,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
10,8,10,12,6,10,8,10,6,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
10,9,10,12,6,10,8,10,7,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
10,9,11,12,7,11,8,12,7,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
10,9,12,12,7,11,7,12,7,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
9,10,12,12,5,10,7,11,7,12,köster; laulukoor; näitleja; jõgis; andres; loorberipärg; kostüüm; teater; viiul; teenima; leib; estonia
8,9,12,8,5,10,7,11,9,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
7,7,12,7,6,9,7,10,11,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
8,9,11,8,8,9,7,12,11,12,köster; laulukoor; näitleja; jõgis; andres; loorberipärg; kostüüm; teater; viiul; teenima; leib; estonia
8,10,11,7,9,9,10,10,11,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
6,11,11,7,11,8,9,12,11,12,köster; laulukoor; näitleja; jõgis; loorberipärg; andres; kostüüm; teater; viiul; teenima; leib; estonia
