EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,4,2,7,6,5,5,11,kaarel; rand; orvik; torm; sadam; geoloogia; prognoos; tamm
7,7,6,5,2,7,6,5,5,11,kaarel; rand; orvik; torm; sadam; geoloogia; prognoos; tamm
7,7,7,5,2,7,5,5,5,11,kaarel; rand; orvik; torm; sadam; geoloogia; prognoos; tamm
7,7,7,5,2,7,5,5,5,11,kaarel; rand; orvik; torm; sadam; geoloogia; prognoos; tamm
6,7,7,7,4,7,5,6,5,11,kaarel; rand; orvik; torm; sadam; geoloogia; prognoos; tamm
6,5,5,8,4,7,6,5,3,11,kaarel; rand; orvik; torm; sadam; prognoos; geoloogia; tamm
7,5,5,6,8,7,7,6,3,11,kaarel; rand; orvik; torm; sadam; prognoos; geoloogia; tamm
6,4,7,6,8,5,6,6,2,11,kaarel; rand; orvik; torm; geoloogia; sadam; prognoos; tamm
5,4,6,3,8,7,6,5,3,11,kaarel; rand; orvik; torm; sadam; prognoos; geoloogia; tamm
5,5,7,4,8,5,6,4,3,11,kaarel; rand; orvik; torm; sadam; prognoos; geoloogia; tamm
5,4,7,4,8,6,7,4,4,11,kaarel; rand; orvik; torm; sadam; prognoos; geoloogia; tamm
