EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,9,7,6,4,7,7,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; rituaal; kompromiss; laul; festival; medell; varietee; ballaad; aprill; sirje
9,8,9,6,6,4,7,9,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; rituaal; kompromiss; laul; festival; medell; varietee; ballaad; aprill; sirje
11,8,11,8,7,5,8,9,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; rituaal; kompromiss; laul; festival; medell; varietee; ballaad; aprill; sirje
11,8,11,8,8,6,9,9,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; rituaal; kompromiss; laul; festival; medell; varietee; ballaad; aprill; sirje
11,8,12,9,8,11,8,9,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; rituaal; kompromiss; laul; festival; medell; varietee; ballaad; aprill; sirje
12,9,11,8,11,9,12,9,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
11,8,13,8,11,9,10,10,5,16,laps; õppimine; kaklema; sisemine; armastus; muusikakool; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
10,9,12,8,10,13,12,12,5,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
12,10,14,10,11,14,11,13,7,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
9,9,12,10,11,12,12,13,6,16,laps; kaklema; õppimine; sisemine; muusikakool; armastus; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
10,8,13,14,9,14,11,12,7,16,laps; õppimine; kaklema; sisemine; muusikakool; armastus; saaremaa; kompromiss; rituaal; laul; festival; medell; varietee; ballaad; aprill; sirje
