EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,4,3,6,4,4,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
7,7,4,4,3,6,6,5,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,7,4,4,3,6,6,7,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,7,5,4,3,6,6,7,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
8,7,5,4,3,6,6,7,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
7,7,7,6,4,6,5,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,7,7,8,5,6,6,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,7,8,8,8,7,7,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,7,8,8,8,6,6,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
6,7,8,8,8,6,6,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
5,8,8,8,8,6,5,8,8,12,amazona; vihm; linn; kikkas; kaupo; ink; haigus; surnu
